subject_id,fold_id,accuracy,balanced_accuracy,left_recall,right_recall,confusion_matrix,collapse_flag,collapse_ratio,pred_counts,n_train,n_test,embedding_dim
16,8,0.3125,0.3125,0.5,0.125,"[[4, 4], [7, 1]]",False,0.6875,"[11, 5]",24,16,20
16,9,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
17,0,0.8125,0.8125,0.875,0.75,"[[7, 1], [2, 6]]",False,0.5625,"[9, 7]",24,16,20
17,1,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
17,2,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
17,3,0.375,0.375,0.125,0.625,"[[1, 7], [3, 5]]",False,0.75,"[4, 12]",24,16,20
17,4,0.25,0.25,0.25,0.25,"[[2, 6], [6, 2]]",False,0.5,"[8, 8]",24,16,20
17,5,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
17,6,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
17,7,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
17,8,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
17,9,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
18,0,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
18,1,0.6875,0.6875,0.75,0.625,"[[6, 2], [3, 5]]",False,0.5625,"[9, 7]",24,16,20
18,2,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
18,3,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
18,4,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
18,5,0.25,0.25,0.0,0.5,"[[0, 8], [4, 4]]",False,0.75,"[4, 12]",24,16,20
18,6,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
18,7,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
18,8,0.1875,0.1875,0.25,0.125,"[[2, 6], [7, 1]]",False,0.5625,"[9, 7]",24,16,20
18,9,0.375,0.375,0.125,0.625,"[[1, 7], [3, 5]]",False,0.75,"[4, 12]",24,16,20
19,0,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
19,1,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
19,2,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
19,3,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
19,4,0.1875,0.1875,0.0,0.375,"[[0, 8], [5, 3]]",False,0.6875,"[5, 11]",24,16,20
19,5,0.25,0.25,0.125,0.375,"[[1, 7], [5, 3]]",False,0.625,"[6, 10]",24,16,20
19,6,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
19,7,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
19,8,0.75,0.75,0.875,0.625,"[[7, 1], [3, 5]]",False,0.625,"[10, 6]",24,16,20
19,9,0.4375,0.4375,0.125,0.75,"[[1, 7], [2, 6]]",False,0.8125,"[3, 13]",24,16,20
20,0,0.375,0.375,0.125,0.625,"[[1, 7], [3, 5]]",False,0.75,"[4, 12]",24,16,20
20,1,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
20,2,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
20,3,0.4375,0.4375,0.125,0.75,"[[1, 7], [2, 6]]",False,0.8125,"[3, 13]",24,16,20
20,4,0.1875,0.1875,0.25,0.125,"[[2, 6], [7, 1]]",False,0.5625,"[9, 7]",24,16,20
20,5,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
20,6,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
20,7,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
20,8,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
20,9,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
21,0,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
21,1,0.3125,0.3125,0.125,0.5,"[[1, 7], [4, 4]]",False,0.6875,"[5, 11]",24,16,20
21,2,0.25,0.25,0.375,0.125,"[[3, 5], [7, 1]]",False,0.625,"[10, 6]",24,16,20
21,3,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
21,4,0.4375,0.4375,0.125,0.75,"[[1, 7], [2, 6]]",False,0.8125,"[3, 13]",24,16,20
21,5,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
21,6,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
21,7,0.625,0.625,0.5,0.75,"[[4, 4], [2, 6]]",False,0.625,"[6, 10]",24,16,20
21,8,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
21,9,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
22,0,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
22,1,0.4375,0.4375,0.25,0.625,"[[2, 6], [3, 5]]",False,0.6875,"[5, 11]",24,16,20
22,2,0.125,0.125,0.125,0.125,"[[1, 7], [7, 1]]",False,0.5,"[8, 8]",24,16,20
22,3,0.5,0.5,0.25,0.75,"[[2, 6], [2, 6]]",False,0.75,"[4, 12]",24,16,20
22,4,0.5,0.5,0.25,0.75,"[[2, 6], [2, 6]]",False,0.75,"[4, 12]",24,16,20
22,5,0.3125,0.3125,0.5,0.125,"[[4, 4], [7, 1]]",False,0.6875,"[11, 5]",24,16,20
22,6,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
22,7,0.1875,0.1875,0.0,0.375,"[[0, 8], [5, 3]]",False,0.6875,"[5, 11]",24,16,20
22,8,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
22,9,0.5625,0.5625,0.375,0.75,"[[3, 5], [2, 6]]",False,0.6875,"[5, 11]",24,16,20
23,0,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
23,1,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
23,2,0.5,0.5,0.25,0.75,"[[2, 6], [2, 6]]",False,0.75,"[4, 12]",24,16,20
23,3,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
23,4,0.375,0.375,0.125,0.625,"[[1, 7], [3, 5]]",False,0.75,"[4, 12]",24,16,20
23,5,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
23,6,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
23,7,0.5625,0.5625,0.25,0.875,"[[2, 6], [1, 7]]",False,0.8125,"[3, 13]",24,16,20
23,8,0.625,0.625,0.5,0.75,"[[4, 4], [2, 6]]",False,0.625,"[6, 10]",24,16,20
23,9,0.25,0.25,0.25,0.25,"[[2, 6], [6, 2]]",False,0.5,"[8, 8]",24,16,20
24,0,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
24,1,0.4375,0.4375,0.125,0.75,"[[1, 7], [2, 6]]",False,0.8125,"[3, 13]",24,16,20
24,2,0.375,0.375,0.125,0.625,"[[1, 7], [3, 5]]",False,0.75,"[4, 12]",24,16,20
24,3,0.3125,0.3125,0.625,0.0,"[[5, 3], [8, 0]]",False,0.8125,"[13, 3]",24,16,20
24,4,0.5625,0.5625,0.375,0.75,"[[3, 5], [2, 6]]",False,0.6875,"[5, 11]",24,16,20
24,5,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
24,6,0.75,0.75,1.0,0.5,"[[8, 0], [4, 4]]",False,0.75,"[12, 4]",24,16,20
24,7,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
24,8,0.625,0.625,0.875,0.375,"[[7, 1], [5, 3]]",False,0.75,"[12, 4]",24,16,20
24,9,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
