subject,n_trials,cov_source,shipped_fb_leaky,shipped_fb_honest_acc,shipped_fb_honest_bacc,twfb_leaky,twfb_honest_acc,twfb_honest_bacc,fixed_8_12,fixed_8_20,fixed_8_30,fixed_12_20,fixed_15_20,fixed_15_30,fixed_20_30,fixed_8_15
22,40,computed,0.7625,0.6375,0.6375,0.80625,0.55625,0.55625,0.65625,0.69375,0.70625,0.6125,0.4625,0.6,0.5625,0.73125
23,40,computed,0.8875,0.7625,0.7625,0.85,0.5875,0.5875,0.7625,0.84375,0.86875,0.7875,0.7375,0.7375,0.5875,0.83125
24,40,computed,0.6625,0.4875,0.4875,0.70625,0.5,0.5,0.3125,0.39375,0.44375,0.4125,0.48125,0.575,0.66875,0.38125
25,40,computed,0.7375,0.54375,0.54375,0.74375,0.54375,0.54375,0.49375,0.51875,0.54375,0.53125,0.5375,0.59375,0.6125,0.5
26,40,computed,0.6125,0.5,0.5,0.7375,0.475,0.475,0.44375,0.5,0.48125,0.61875,0.55,0.5625,0.475,0.45
27,40,computed,0.58125,0.46875,0.46875,0.7,0.44375,0.44375,0.46875,0.46875,0.45625,0.5,0.375,0.43125,0.55,0.45625
28,40,computed,0.8375,0.69375,0.69375,0.84375,0.575,0.575,0.5875,0.64375,0.68125,0.675,0.7,0.73125,0.75,0.6
29,40,computed,0.71875,0.575,0.575,0.75,0.475,0.475,0.525,0.575,0.54375,0.56875,0.55625,0.44375,0.46875,0.5875
30,40,computed,0.75625,0.59375,0.59375,0.8375,0.54375,0.54375,0.6375,0.68125,0.63125,0.64375,0.5125,0.65625,0.675,0.675
31,40,computed,0.58125,0.39375,0.39375,0.74375,0.53125,0.53125,0.41875,0.40625,0.375,0.41875,0.4875,0.48125,0.49375,0.41875
32,40,computed,0.54375,0.39375,0.39375,0.75,0.50625,0.50625,0.41875,0.38125,0.3375,0.3875,0.4625,0.3,0.31875,0.3625
33,40,computed,0.65625,0.5,0.5,0.775,0.56875,0.56875,0.475,0.54375,0.51875,0.56875,0.55,0.50625,0.51875,0.53125
34,40,computed,0.51875,0.35,0.35,0.7375,0.4375,0.4375,0.275,0.3375,0.35625,0.39375,0.46875,0.40625,0.4,0.31875
35,40,computed,0.625,0.4,0.4,0.7125,0.525,0.525,0.40625,0.41875,0.425,0.41875,0.44375,0.51875,0.45,0.41875
36,40,computed,0.5875,0.5,0.5,0.74375,0.51875,0.51875,0.41875,0.44375,0.4625,0.575,0.475,0.44375,0.38125,0.43125
37,40,computed,0.825,0.7375,0.7375,0.86875,0.6,0.6,0.4625,0.6,0.66875,0.64375,0.68125,0.775,0.80625,0.51875
38,40,computed,0.65625,0.46875,0.46875,0.7875,0.56875,0.56875,0.3625,0.4625,0.525,0.4875,0.40625,0.525,0.5875,0.38125
39,40,computed,0.54375,0.45,0.45,0.7125,0.475,0.475,0.43125,0.38125,0.3625,0.33125,0.4,0.4125,0.425,0.41875
40,40,computed,0.875,0.71875,0.71875,0.8625,0.65,0.65,0.6,0.73125,0.79375,0.725,0.65,0.7875,0.80625,0.65625
41,40,computed,0.60625,0.43125,0.43125,0.73125,0.49375,0.49375,0.48125,0.43125,0.4875,0.31875,0.38125,0.44375,0.6,0.4625
42,40,computed,0.63125,0.5375,0.5375,0.79375,0.50625,0.50625,0.4125,0.525,0.5625,0.59375,0.5375,0.5375,0.625,0.475
43,40,computed,0.65,0.575,0.575,0.775,0.4625,0.4625,0.5,0.54375,0.55,0.6,0.39375,0.43125,0.4375,0.55
44,40,computed,0.84375,0.66875,0.66875,0.825,0.55,0.55,0.63125,0.7,0.73125,0.6,0.46875,0.6875,0.73125,0.675
45,40,computed,0.85,0.76875,0.76875,0.83125,0.675,0.675,0.76875,0.8,0.74375,0.6375,0.5375,0.6,0.6375,0.825
46,40,computed,0.61875,0.45,0.45,0.8125,0.5625,0.5625,0.4625,0.4875,0.475,0.425,0.55625,0.53125,0.45625,0.4875
47,40,computed,0.625,0.4875,0.4875,0.74375,0.4625,0.4625,0.49375,0.4625,0.49375,0.45625,0.5375,0.48125,0.4875,0.525
48,40,computed,0.6125,0.375,0.375,0.73125,0.4375,0.4375,0.5125,0.4,0.38125,0.39375,0.43125,0.4,0.4125,0.48125
49,40,computed,0.6625,0.5375,0.5375,0.79375,0.6,0.6,0.54375,0.5625,0.55625,0.55,0.60625,0.53125,0.5375,0.63125
50,40,computed,0.6875,0.55625,0.55625,0.70625,0.46875,0.46875,0.6125,0.56875,0.56875,0.54375,0.5125,0.54375,0.51875,0.5625
