method,subject_id,accuracy,balanced_accuracy,f1,confusion_matrix
temporal_trajectory_lda,sub-16,0.5,0.5,0.4117647058823529,"[[13, 7], [13, 7]]"
temporal_trajectory_lda,sub-17,0.575,0.575,0.5853658536585366,"[[11, 9], [8, 12]]"
temporal_trajectory_lda,sub-18,0.55,0.55,0.5263157894736842,"[[12, 8], [10, 10]]"
temporal_trajectory_lda,sub-19,0.275,0.275,0.2564102564102564,"[[6, 14], [15, 5]]"
temporal_trajectory_lda,sub-20,0.5,0.5,0.4444444444444444,"[[12, 8], [12, 8]]"
temporal_trajectory_lda,sub-21,0.625,0.625,0.6341463414634146,"[[12, 8], [7, 13]]"
temporal_trajectory_lda,sub-22,0.525,0.525,0.5777777777777777,"[[8, 12], [7, 13]]"
temporal_trajectory_lda,sub-23,0.475,0.475,0.4878048780487805,"[[9, 11], [10, 10]]"
temporal_trajectory_lda,sub-24,0.475,0.47500000000000003,0.43243243243243246,"[[11, 9], [12, 8]]"
temporal_trajectory_lda,sub-25,0.5,0.5,0.5,"[[10, 10], [10, 10]]"
temporal_trajectory_lda,sub-26,0.45,0.45,0.45,"[[9, 11], [11, 9]]"
temporal_trajectory_lda,sub-27,0.5,0.5,0.47368421052631576,"[[11, 9], [11, 9]]"
temporal_trajectory_lda,sub-28,0.5,0.5,0.5238095238095238,"[[9, 11], [9, 11]]"
temporal_trajectory_lda,sub-29,0.575,0.575,0.6222222222222222,"[[9, 11], [6, 14]]"
temporal_trajectory_lda,sub-30,0.525,0.525,0.5365853658536586,"[[10, 10], [9, 11]]"
temporal_trajectory_lda,sub-31,0.625,0.625,0.5945945945945946,"[[14, 6], [9, 11]]"
temporal_trajectory_lda,sub-32,0.6,0.6000000000000001,0.5789473684210527,"[[13, 7], [9, 11]]"
temporal_trajectory_lda,sub-33,0.45,0.45,0.42105263157894735,"[[10, 10], [12, 8]]"
temporal_trajectory_lda,sub-34,0.525,0.525,0.5365853658536586,"[[10, 10], [9, 11]]"
temporal_trajectory_lda,sub-35,0.525,0.525,0.5365853658536586,"[[10, 10], [9, 11]]"
temporal_trajectory_lda,sub-36,0.5,0.5,0.5833333333333334,"[[6, 14], [6, 14]]"
temporal_trajectory_lda,sub-37,0.55,0.55,0.5714285714285714,"[[10, 10], [8, 12]]"
temporal_trajectory_lda,sub-38,0.475,0.475,0.46153846153846156,"[[10, 10], [11, 9]]"
temporal_trajectory_lda,sub-39,0.5,0.5,0.4117647058823529,"[[13, 7], [13, 7]]"
temporal_trajectory_lda,sub-40,0.5,0.5,0.4117647058823529,"[[13, 7], [13, 7]]"
temporal_trajectory_lda,sub-41,0.525,0.525,0.45714285714285713,"[[13, 7], [12, 8]]"
temporal_trajectory_lda,sub-42,0.575,0.575,0.6222222222222222,"[[9, 11], [6, 14]]"
temporal_trajectory_lda,sub-43,0.45,0.44999999999999996,0.5217391304347826,"[[6, 14], [8, 12]]"
temporal_trajectory_lda,sub-44,0.35,0.35,0.38095238095238093,"[[6, 14], [12, 8]]"
temporal_trajectory_lda,sub-45,0.65,0.6499999999999999,0.6666666666666666,"[[12, 8], [6, 14]]"
temporal_trajectory_lda,sub-46,0.675,0.675,0.6829268292682927,"[[13, 7], [6, 14]]"
temporal_trajectory_lda,sub-47,0.35,0.35,0.3157894736842105,"[[8, 12], [14, 6]]"
temporal_trajectory_lda,sub-48,0.525,0.525,0.5128205128205128,"[[11, 9], [10, 10]]"
temporal_trajectory_lda,sub-49,0.375,0.375,0.358974358974359,"[[8, 12], [13, 7]]"
temporal_trajectory_lda,sub-50,0.575,0.575,0.5853658536585366,"[[11, 9], [8, 12]]"
