subject_id,repeat_id,method_name,window_name,window_start_sample,window_stop_sample,n_train,n_test,n_channels,n_times,train_indices_0based,test_indices_0based,train_class_counts,test_class_counts,n_features,accuracy,balanced_accuracy,kappa_sklearn,precision_macro,sensitivity_macro,prediction_counts,confusion_matrix_standard_labels_1_2,confusion_matrix_author_labels_2_1,left_total,left_correct,right_total,right_correct
2,1,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[28, 23, 9, 38, 16, 26, 12, 25, 20, 17, 13, 4, 21, 1, 22, 33, 8, 27, 2, 5, 37, 6, 10, 11]","[36, 15, 3, 32, 35, 29, 7, 34, 14, 24, 31, 18, 0, 30, 39, 19]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,62.5,62.5,0.25,66.66666666666667,62.5,"{1: 4, 2: 12}","[[3, 5], [1, 7]]","[[7, 1], [5, 3]]",8,3,8,7
2,1,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[28, 23, 9, 38, 16, 26, 12, 25, 20, 17, 13, 4, 21, 1, 22, 33, 8, 27, 2, 5, 37, 6, 10, 11]","[36, 15, 3, 32, 35, 29, 7, 34, 14, 24, 31, 18, 0, 30, 39, 19]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,43.75,43.75,-0.125,43.65079365079365,43.75,"{1: 7, 2: 9}","[[3, 5], [4, 4]]","[[4, 4], [5, 3]]",8,3,8,4
2,2,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[30, 2, 11, 29, 34, 21, 14, 16, 38, 25, 8, 18, 6, 35, 37, 32, 13, 33, 24, 5, 39, 31, 7, 4]","[26, 22, 0, 19, 20, 36, 27, 17, 15, 1, 3, 12, 23, 10, 28, 9]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,50.0,50.0,0.0,50.0,50.0,"{1: 10, 2: 6}","[[5, 3], [5, 3]]","[[3, 5], [3, 5]]",8,5,8,3
2,2,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[30, 2, 11, 29, 34, 21, 14, 16, 38, 25, 8, 18, 6, 35, 37, 32, 13, 33, 24, 5, 39, 31, 7, 4]","[26, 22, 0, 19, 20, 36, 27, 17, 15, 1, 3, 12, 23, 10, 28, 9]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,50.0,50.0,0.0,50.0,50.0,"{1: 2, 2: 14}","[[1, 7], [1, 7]]","[[7, 1], [7, 1]]",8,1,8,7
2,3,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[24, 14, 7, 18, 36, 34, 5, 0, 19, 10, 15, 33, 38, 32, 31, 29, 25, 39, 8, 21, 11, 23, 2, 26]","[27, 3, 37, 6, 22, 28, 30, 35, 20, 17, 12, 16, 9, 1, 4, 13]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,43.75,43.75,-0.125,42.72727272727273,43.75,"{1: 11, 2: 5}","[[5, 3], [6, 2]]","[[2, 6], [3, 5]]",8,5,8,2
2,3,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[24, 14, 7, 18, 36, 34, 5, 0, 19, 10, 15, 33, 38, 32, 31, 29, 25, 39, 8, 21, 11, 23, 2, 26]","[27, 3, 37, 6, 22, 28, 30, 35, 20, 17, 12, 16, 9, 1, 4, 13]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,56.25,56.25,0.125,56.34920634920635,56.25,"{1: 7, 2: 9}","[[4, 4], [3, 5]]","[[5, 3], [4, 4]]",8,4,8,5
2,4,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[27, 29, 7, 17, 33, 20, 23, 14, 12, 24, 21, 13, 9, 16, 26, 6, 5, 28, 32, 30, 1, 3, 18, 38]","[36, 11, 22, 31, 25, 34, 19, 8, 35, 39, 37, 2, 0, 10, 15, 4]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,56.25,56.25,0.125,56.34920634920635,56.25,"{1: 7, 2: 9}","[[4, 4], [3, 5]]","[[5, 3], [4, 4]]",8,4,8,5
2,4,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[27, 29, 7, 17, 33, 20, 23, 14, 12, 24, 21, 13, 9, 16, 26, 6, 5, 28, 32, 30, 1, 3, 18, 38]","[36, 11, 22, 31, 25, 34, 19, 8, 35, 39, 37, 2, 0, 10, 15, 4]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,31.25,31.25,-0.375,30.952380952380953,31.25,"{1: 9, 2: 7}","[[3, 5], [6, 2]]","[[2, 6], [5, 3]]",8,3,8,2
2,5,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[16, 13, 10, 25, 31, 3, 5, 17, 4, 39, 28, 21, 15, 29, 22, 8, 24, 20, 33, 6, 30, 36, 27, 14]","[0, 23, 2, 18, 37, 38, 35, 12, 11, 19, 9, 1, 34, 26, 7, 32]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,31.25,31.25,-0.375,28.181818181818187,31.25,"{1: 11, 2: 5}","[[4, 4], [7, 1]]","[[1, 7], [4, 4]]",8,4,8,1
2,5,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[16, 13, 10, 25, 31, 3, 5, 17, 4, 39, 28, 21, 15, 29, 22, 8, 24, 20, 33, 6, 30, 36, 27, 14]","[0, 23, 2, 18, 37, 38, 35, 12, 11, 19, 9, 1, 34, 26, 7, 32]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,37.5,37.5,-0.25,36.66666666666667,37.5,"{1: 6, 2: 10}","[[2, 6], [4, 4]]","[[4, 4], [6, 2]]",8,2,8,4
2,6,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[13, 9, 1, 37, 15, 38, 16, 20, 34, 36, 17, 30, 8, 33, 7, 26, 0, 35, 6, 23, 25, 4, 11, 18]","[22, 14, 32, 5, 39, 2, 31, 3, 12, 19, 24, 29, 27, 28, 21, 10]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,31.25,31.25,-0.375,30.952380952380953,31.25,"{1: 9, 2: 7}","[[3, 5], [6, 2]]","[[2, 6], [5, 3]]",8,3,8,2
2,6,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[13, 9, 1, 37, 15, 38, 16, 20, 34, 36, 17, 30, 8, 33, 7, 26, 0, 35, 6, 23, 25, 4, 11, 18]","[22, 14, 32, 5, 39, 2, 31, 3, 12, 19, 24, 29, 27, 28, 21, 10]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,43.75,43.75,-0.125,42.72727272727273,43.75,"{1: 11, 2: 5}","[[5, 3], [6, 2]]","[[2, 6], [3, 5]]",8,5,8,2
