method_name,subject_id,mean_accuracy,std_accuracy,mean_balanced_accuracy,mean_kappa_sklearn,n_repeats,left_total,left_correct,right_total,right_correct
FBCSP_SVM,24,43.125,12.993721774593896,43.125,-0.1375,10,80,30,80,39
FBCSP_SVM,25,57.5,10.944937947136415,57.5,0.15,10,80,43,80,49
FBCSP_SVM,26,50.0,8.838834764831844,50.0,0.0,10,80,50,80,30
FBCSP_SVM,27,43.75,12.5,43.75,-0.125,10,80,31,80,39
FBCSP_SVM,28,56.875,7.482618748361655,56.875,0.1375,10,80,56,80,35
FBCSP_SVM,29,43.125,11.199733379763012,43.125,-0.1375,10,80,38,80,31
FBCSP_SVM,30,65.0,11.102427162061856,65.0,0.3,10,80,48,80,56
FBCSP_SVM,31,40.0,17.480147469502526,40.0,-0.2,10,80,25,80,39
FBCSP_SVM,32,51.875,11.429888936954336,51.875,0.0375,10,80,34,80,49
FBCSP_SVM,33,43.125,7.482618748361654,43.125,-0.1375,10,80,25,80,44
FBCSP_SVM,34,43.125,12.993721774593896,43.125,-0.1375,10,80,34,80,35
FBCSP_SVM,35,54.375,9.340213238108289,54.375,0.0875,10,80,43,80,44
FBCSP_SVM,36,39.375,10.22744809052798,39.375,-0.2125,10,80,34,80,29
FBCSP_SVM,37,71.875,12.236812629657013,71.875,0.4375,10,80,59,80,56
FBCSP_SVM,38,63.75,12.0761472884912,63.75,0.275,10,80,54,80,48
FBCSP_SVM,39,41.25,9.409658158863511,41.25,-0.175,10,80,32,80,34
FBCSP_SVM,40,61.25,12.774758097296576,61.25,0.225,10,80,47,80,51
FBCSP_SVM,41,42.5,8.228507357554792,42.5,-0.15,10,80,31,80,37
FBCSP_SVM,42,52.5,12.219065248845983,52.5,0.05,10,80,47,80,37
FBCSP_SVM,43,44.375,11.58078509140608,44.375,-0.1125,10,80,32,80,39
FBCSP_SVM,44,62.5,12.5,62.5,0.25,10,80,53,80,47
FBCSP_SVM,45,51.25,11.711224435462663,51.25,0.025,10,80,42,80,40
FBCSP_SVM,46,47.5,7.905694150420948,47.5,-0.05,10,80,42,80,34
FBCSP_SVM,47,55.0,11.711224435462663,55.0,0.1,10,80,41,80,47
FBCSP_SVM,48,51.875,14.448784070333087,51.875,0.0375,10,80,45,80,38
FBCSP_SVM,49,53.75,9.860132971832694,53.75,0.075,10,80,36,80,50
FBCSP_SVM,50,74.375,6.215180787573456,74.375,0.4875,10,80,54,80,65
