run_id,subject_id,accuracies,balanced_accuracies,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy
20260402_1217_1cd1e826,49,"[0.85, 0.95, 0.9, 0.8, 0.8]","[0.85, 0.95, 0.9, 0.8, 0.8]",0.86,0.05830951894845297,0.86,0.05830951894845297
20260402_1217_1cd1e826,50,"[0.9, 1.0, 0.85, 0.85, 0.95]","[0.9, 1.0, 0.8500000000000001, 0.8500000000000001, 0.95]",0.9099999999999999,0.05830951894845301,0.9099999999999999,0.05830951894845297
20260402_1217_1cd1e826,51,"[0.15, 0.4, 0.3, 0.3, 0.3]","[0.15000000000000002, 0.4, 0.3, 0.30000000000000004, 0.30000000000000004]",0.29000000000000004,0.07999999999999999,0.29000000000000004,0.08
20260402_1217_1cd1e826,52,"[0.95, 1.0, 1.0, 1.0, 0.95]","[0.95, 1.0, 1.0, 1.0, 0.95]",0.9800000000000001,0.024494897427831803,0.9800000000000001,0.024494897427831803
20260402_1217_1cd1e826,53,"[0.95, 1.0, 0.95, 1.0, 0.9]","[0.95, 1.0, 0.95, 1.0, 0.9]",0.96,0.03741657386773941,0.96,0.03741657386773941
20260402_1217_1cd1e826,54,"[0.5, 0.75, 0.85, 0.55, 0.25]","[0.5, 0.7500000000000001, 0.8500000000000001, 0.5499999999999999, 0.25]",0.5800000000000001,0.20880613017821098,0.58,0.20880613017821104
20260402_1231_c4ae734d,53,"[0.95, 1.0, 0.95, 1.0, 0.9]","[0.95, 1.0, 0.95, 1.0, 0.9]",0.96,0.03741657386773941,0.96,0.03741657386773941
20260402_1231_c4ae734d,48,"[1.0, 0.95, 1.0, 1.0, 0.85]","[1.0, 0.95, 1.0, 1.0, 0.8500000000000001]",0.96,0.058309518948453015,0.9600000000000002,0.05830951894845297
20260402_1231_c4ae734d,49,"[0.85, 0.95, 0.9, 0.8, 0.8]","[0.85, 0.95, 0.9, 0.8, 0.8]",0.86,0.05830951894845297,0.86,0.05830951894845297
20260402_1231_c4ae734d,50,"[0.9, 1.0, 0.85, 0.85, 0.95]","[0.9, 1.0, 0.8500000000000001, 0.8500000000000001, 0.95]",0.9099999999999999,0.05830951894845301,0.9099999999999999,0.05830951894845297
20260402_1231_c4ae734d,52,"[0.95, 1.0, 1.0, 1.0, 0.95]","[0.95, 1.0, 1.0, 1.0, 0.95]",0.9800000000000001,0.024494897427831803,0.9800000000000001,0.024494897427831803
20260402_1231_c4ae734d,54,"[0.5, 0.75, 0.85, 0.55, 0.25]","[0.5, 0.7500000000000001, 0.8500000000000001, 0.5499999999999999, 0.25]",0.5800000000000001,0.20880613017821098,0.58,0.20880613017821104
