method,subject_id,accuracy,balanced_accuracy,f1,confusion_matrix
fixed_spectral_lda,sub-35,0.5,0.5,0.5,"[[10, 10], [10, 10]]"
fixed_spectral_lda,sub-36,0.475,0.475,0.4878048780487805,"[[9, 11], [10, 10]]"
fixed_spectral_lda,sub-37,0.725,0.725,0.7317073170731707,"[[14, 6], [5, 15]]"
fixed_spectral_lda,sub-38,0.525,0.525,0.5128205128205128,"[[11, 9], [10, 10]]"
fixed_spectral_lda,sub-39,0.625,0.625,0.6153846153846154,"[[13, 7], [8, 12]]"
fixed_spectral_lda,sub-40,0.85,0.85,0.85,"[[17, 3], [3, 17]]"
fixed_spectral_lda,sub-41,0.575,0.575,0.5405405405405406,"[[13, 7], [10, 10]]"
fixed_spectral_lda,sub-42,0.575,0.575,0.5641025641025641,"[[12, 8], [9, 11]]"
fixed_spectral_lda,sub-43,0.45,0.45,0.47619047619047616,"[[8, 12], [10, 10]]"
fixed_spectral_lda,sub-44,0.55,0.55,0.5714285714285714,"[[10, 10], [8, 12]]"
fixed_spectral_lda,sub-45,0.8,0.8,0.8,"[[16, 4], [4, 16]]"
fixed_spectral_lda,sub-46,0.5,0.5,0.47368421052631576,"[[11, 9], [11, 9]]"
fixed_spectral_lda,sub-47,0.45,0.45,0.5,"[[7, 13], [9, 11]]"
fixed_spectral_lda,sub-48,0.475,0.475,0.4878048780487805,"[[9, 11], [10, 10]]"
fixed_spectral_lda,sub-49,0.425,0.425,0.3783783783783784,"[[10, 10], [13, 7]]"
fixed_spectral_lda,sub-50,0.6,0.6,0.6,"[[12, 8], [8, 12]]"
frozen_eegpt_lda,sub-01,0.375,0.375,0.358974358974359,"[[8, 12], [13, 7]]"
frozen_eegpt_lda,sub-02,0.525,0.525,0.5128205128205128,"[[11, 9], [10, 10]]"
frozen_eegpt_lda,sub-03,0.55,0.55,0.5,"[[13, 7], [11, 9]]"
frozen_eegpt_lda,sub-04,0.45,0.45,0.47619047619047616,"[[8, 12], [10, 10]]"
frozen_eegpt_lda,sub-05,0.575,0.575,0.5405405405405406,"[[13, 7], [10, 10]]"
frozen_eegpt_lda,sub-06,0.4,0.4,0.45454545454545453,"[[6, 14], [10, 10]]"
frozen_eegpt_lda,sub-07,0.6,0.6000000000000001,0.6190476190476191,"[[11, 9], [7, 13]]"
frozen_eegpt_lda,sub-08,0.6,0.6,0.6,"[[12, 8], [8, 12]]"
frozen_eegpt_lda,sub-09,0.525,0.525,0.5365853658536586,"[[10, 10], [9, 11]]"
frozen_eegpt_lda,sub-10,0.375,0.375,0.358974358974359,"[[8, 12], [13, 7]]"
frozen_eegpt_lda,sub-11,0.475,0.475,0.46153846153846156,"[[10, 10], [11, 9]]"
frozen_eegpt_lda,sub-12,0.425,0.42500000000000004,0.43902439024390244,"[[8, 12], [11, 9]]"
frozen_eegpt_lda,sub-13,0.475,0.475,0.4878048780487805,"[[9, 11], [10, 10]]"
frozen_eegpt_lda,sub-14,0.625,0.625,0.6341463414634146,"[[12, 8], [7, 13]]"
frozen_eegpt_lda,sub-15,0.6,0.6,0.6,"[[12, 8], [8, 12]]"
frozen_eegpt_lda,sub-16,0.525,0.525,0.5128205128205128,"[[11, 9], [10, 10]]"
frozen_eegpt_lda,sub-17,0.5,0.5,0.5,"[[10, 10], [10, 10]]"
frozen_eegpt_lda,sub-18,0.425,0.42500000000000004,0.43902439024390244,"[[8, 12], [11, 9]]"
frozen_eegpt_lda,sub-19,0.625,0.625,0.6153846153846154,"[[13, 7], [8, 12]]"
frozen_eegpt_lda,sub-20,0.675,0.675,0.6829268292682927,"[[13, 7], [6, 14]]"
frozen_eegpt_lda,sub-21,0.4,0.4,0.3684210526315789,"[[9, 11], [13, 7]]"
frozen_eegpt_lda,sub-22,0.45,0.45,0.5,"[[7, 13], [9, 11]]"
frozen_eegpt_lda,sub-23,0.45,0.45,0.47619047619047616,"[[8, 12], [10, 10]]"
frozen_eegpt_lda,sub-24,0.5,0.5,0.5454545454545454,"[[8, 12], [8, 12]]"
frozen_eegpt_lda,sub-25,0.675,0.675,0.6666666666666666,"[[14, 6], [7, 13]]"
frozen_eegpt_lda,sub-26,0.5,0.5,0.47368421052631576,"[[11, 9], [11, 9]]"
frozen_eegpt_lda,sub-27,0.4,0.4,0.29411764705882354,"[[11, 9], [15, 5]]"
frozen_eegpt_lda,sub-28,0.5,0.5,0.5,"[[10, 10], [10, 10]]"
frozen_eegpt_lda,sub-29,0.425,0.42500000000000004,0.4888888888888889,"[[6, 14], [9, 11]]"
frozen_eegpt_lda,sub-30,0.475,0.47500000000000003,0.43243243243243246,"[[11, 9], [12, 8]]"
frozen_eegpt_lda,sub-31,0.4,0.4,0.3333333333333333,"[[10, 10], [14, 6]]"
frozen_eegpt_lda,sub-32,0.45,0.45,0.42105263157894735,"[[10, 10], [12, 8]]"
frozen_eegpt_lda,sub-33,0.4,0.4,0.42857142857142855,"[[7, 13], [11, 9]]"
frozen_eegpt_lda,sub-34,0.65,0.65,0.65,"[[13, 7], [7, 13]]"
frozen_eegpt_lda,sub-35,0.5,0.5,0.47368421052631576,"[[11, 9], [11, 9]]"
frozen_eegpt_lda,sub-36,0.5,0.5,0.47368421052631576,"[[11, 9], [11, 9]]"
frozen_eegpt_lda,sub-37,0.45,0.45,0.42105263157894735,"[[10, 10], [12, 8]]"
frozen_eegpt_lda,sub-38,0.475,0.475,0.4878048780487805,"[[9, 11], [10, 10]]"
frozen_eegpt_lda,sub-39,0.475,0.475,0.4878048780487805,"[[9, 11], [10, 10]]"
frozen_eegpt_lda,sub-40,0.725,0.7250000000000001,0.7027027027027027,"[[16, 4], [7, 13]]"
frozen_eegpt_lda,sub-41,0.45,0.45,0.42105263157894735,"[[10, 10], [12, 8]]"
frozen_eegpt_lda,sub-42,0.55,0.55,0.5714285714285714,"[[10, 10], [8, 12]]"
frozen_eegpt_lda,sub-43,0.375,0.375,0.358974358974359,"[[8, 12], [13, 7]]"
frozen_eegpt_lda,sub-44,0.575,0.575,0.5405405405405406,"[[13, 7], [10, 10]]"
frozen_eegpt_lda,sub-45,0.7,0.7,0.7272727272727273,"[[12, 8], [4, 16]]"
frozen_eegpt_lda,sub-46,0.45,0.45,0.5,"[[7, 13], [9, 11]]"
frozen_eegpt_lda,sub-47,0.45,0.45,0.3888888888888889,"[[11, 9], [13, 7]]"
frozen_eegpt_lda,sub-48,0.425,0.42500000000000004,0.41025641025641024,"[[9, 11], [12, 8]]"
frozen_eegpt_lda,sub-49,0.775,0.775,0.7692307692307693,"[[16, 4], [5, 15]]"
frozen_eegpt_lda,sub-50,0.55,0.55,0.5263157894736842,"[[12, 8], [10, 10]]"
