method_name,model_name,subject_id,fold_id,accuracy,accuracy_percent,balanced_accuracy,balanced_accuracy_percent,n_train,n_test,train_class_counts,test_class_counts,prediction_histogram,collapse_ratio,collapse_flag,mean_confidence,mean_normalized_prediction_entropy,best_epoch,stopped_epoch,epochs_ran,best_valid_loss,fold_seed
EEGNetv4__eegnet_preprocess,EEGNetv4,12,2,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[0, 8]",1.0,True,0.51269556,0.99952176,28,66,66,0.6926965713500977,14
EEGNetv4__eegnet_preprocess,EEGNetv4,12,3,0.375,37.5,0.375,37.5,32,8,"[16, 16]","[4, 4]","[1, 7]",0.875,False,0.64759716,0.90918531,183,222,222,0.5966075658798218,15
EEGNetv4__eegnet_preprocess,EEGNetv4,12,4,0.25,25.0,0.25,25.0,32,8,"[16, 16]","[4, 4]","[2, 6]",0.75,False,0.81524286,0.61878278,295,300,300,0.40417543053627014,16
EEGNetv4__eegnet_preprocess,EEGNetv4,12,5,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[3, 5]",0.625,False,0.52681953,0.99717279,122,162,162,0.6836225986480713,17
EEGNetv4__eegnet_preprocess,EEGNetv4,13,1,0.25,25.0,0.25,25.0,32,8,"[16, 16]","[4, 4]","[6, 2]",0.75,False,0.55282559,0.98627273,104,143,143,0.6705726385116577,13
EEGNetv4__eegnet_preprocess,EEGNetv4,13,2,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[0, 8]",1.0,True,0.50446355,0.99994145,9,49,49,0.689839243888855,14
EEGNetv4__eegnet_preprocess,EEGNetv4,13,3,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[8, 0]",1.0,True,0.65491392,0.91155416,163,203,203,0.6658273935317993,15
EEGNetv4__eegnet_preprocess,EEGNetv4,13,4,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[1, 7]",0.875,False,0.50291049,0.99994079,18,58,58,0.6928609609603882,16
EEGNetv4__eegnet_preprocess,EEGNetv4,13,5,0.25,25.0,0.25,25.0,32,8,"[16, 16]","[4, 4]","[6, 2]",0.75,False,0.50204215,0.99998287,1,41,41,0.6944365501403809,17
EEGNetv4__eegnet_preprocess,EEGNetv4,14,1,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[8, 0]",1.0,True,0.50779463,0.99981272,14,52,52,0.6915475726127625,13
EEGNetv4__eegnet_preprocess,EEGNetv4,14,2,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[6, 2]",0.75,False,0.74537636,0.72336177,300,300,300,0.5021560192108154,14
EEGNetv4__eegnet_preprocess,EEGNetv4,14,3,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[2, 6]",0.75,False,0.58382464,0.95967786,278,300,300,0.5774257183074951,15
EEGNetv4__eegnet_preprocess,EEGNetv4,14,4,0.75,75.0,0.75,75.0,32,8,"[16, 16]","[4, 4]","[4, 4]",0.5,False,0.50078463,0.99999758,1,41,41,0.693953275680542,16
EEGNetv4__eegnet_preprocess,EEGNetv4,14,5,0.875,87.5,0.875,87.5,32,8,"[16, 16]","[4, 4]","[5, 3]",0.625,False,0.50106398,0.99999519,2,41,41,0.6927120685577393,17
EEGNetv4__eegnet_preprocess,EEGNetv4,15,1,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[4, 4]",0.5,False,0.50067635,0.9999974,1,41,41,0.6936014294624329,13
EEGNetv4__eegnet_preprocess,EEGNetv4,15,2,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[4, 4]",0.5,False,0.50032353,0.99999967,1,41,41,0.6945900917053223,14
EEGNetv4__eegnet_preprocess,EEGNetv4,15,3,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[1, 7]",0.875,False,0.69521521,0.84816579,300,300,300,0.44284215569496155,15
EEGNetv4__eegnet_preprocess,EEGNetv4,15,4,0.75,75.0,0.75,75.0,32,8,"[16, 16]","[4, 4]","[4, 4]",0.5,False,0.50054643,0.99999857,25,56,56,0.6930825710296631,16
EEGNetv4__eegnet_preprocess,EEGNetv4,15,5,0.375,37.5,0.375,37.5,32,8,"[16, 16]","[4, 4]","[3, 5]",0.625,False,0.58398676,0.97402723,207,247,247,0.6354353427886963,17
EEGNetv4__eegnet_preprocess,EEGNetv4,16,1,0.375,37.5,0.375,37.5,32,8,"[16, 16]","[4, 4]","[7, 1]",0.875,False,0.51810654,0.99890699,52,92,92,0.6863275170326233,13
EEGNetv4__eegnet_preprocess,EEGNetv4,16,2,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[0, 8]",1.0,True,0.50390331,0.99991244,39,63,63,0.6933060884475708,14
EEGNetv4__eegnet_preprocess,EEGNetv4,16,3,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[8, 0]",1.0,True,0.51011381,0.99964494,17,56,56,0.6889381408691406,15
EEGNetv4__eegnet_preprocess,EEGNetv4,16,4,0.375,37.5,0.375,37.5,32,8,"[16, 16]","[4, 4]","[7, 1]",0.875,False,0.50159594,0.99998963,2,42,42,0.6915189623832703,16
EEGNetv4__eegnet_preprocess,EEGNetv4,16,5,0.75,75.0,0.75,75.0,32,8,"[16, 16]","[4, 4]","[2, 6]",0.75,False,0.51130038,0.99781063,1,41,41,0.6964959502220154,17
EEGNetv4__eegnet_preprocess,EEGNetv4,17,1,0.875,87.5,0.875,87.5,32,8,"[16, 16]","[4, 4]","[5, 3]",0.625,False,0.50142376,0.99999153,1,41,41,0.6933300495147705,13
EEGNetv4__eegnet_preprocess,EEGNetv4,17,2,0.375,37.5,0.375,37.5,32,8,"[16, 16]","[4, 4]","[5, 3]",0.625,False,0.50303148,0.99996944,41,69,69,0.6932196021080017,14
EEGNetv4__eegnet_preprocess,EEGNetv4,17,3,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[8, 0]",1.0,True,0.51264732,0.99952714,27,60,60,0.6930685043334961,15
EEGNetv4__eegnet_preprocess,EEGNetv4,17,4,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[0, 8]",1.0,True,0.50854419,0.99978481,30,68,68,0.6943081617355347,16
EEGNetv4__eegnet_preprocess,EEGNetv4,17,5,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[8, 0]",1.0,True,0.5044115,0.99993309,32,70,70,0.6925919055938721,17
EEGNetv4__eegnet_preprocess,EEGNetv4,18,1,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[3, 5]",0.625,False,0.50097338,0.99999431,1,41,41,0.6935715675354004,13
EEGNetv4__eegnet_preprocess,EEGNetv4,18,2,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[1, 7]",0.875,False,0.60307218,0.96086418,155,195,195,0.6686933040618896,14
EEGNetv4__eegnet_preprocess,EEGNetv4,18,3,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[7, 1]",0.875,False,0.548262,0.98954454,153,192,192,0.6639803647994995,15
EEGNetv4__eegnet_preprocess,EEGNetv4,18,4,0.875,87.5,0.875,87.5,32,8,"[16, 16]","[4, 4]","[5, 3]",0.625,False,0.52219076,0.99768778,115,155,155,0.6833781003952026,16
EEGNetv4__eegnet_preprocess,EEGNetv4,18,5,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[0, 8]",1.0,True,0.66003181,0.91887345,177,217,217,0.6711349487304688,17
EEGNetv4__eegnet_preprocess,EEGNetv4,19,1,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[5, 3]",0.625,False,0.7709031,0.66698902,236,276,276,0.5120430588722229,13
EEGNetv4__eegnet_preprocess,EEGNetv4,19,2,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[0, 8]",1.0,True,0.50302455,0.99996745,8,47,47,0.6953793168067932,14
EEGNetv4__eegnet_preprocess,EEGNetv4,19,3,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[4, 4]",0.5,False,0.5990351,0.95615108,177,217,217,0.5437581539154053,15
EEGNetv4__eegnet_preprocess,EEGNetv4,19,4,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[0, 8]",1.0,True,0.56340834,0.98420656,84,122,122,0.6685413122177124,16
EEGNetv4__eegnet_preprocess,EEGNetv4,19,5,0.375,37.5,0.375,37.5,32,8,"[16, 16]","[4, 4]","[5, 3]",0.625,False,0.69460514,0.75021168,154,194,194,0.6111882328987122,17
EEGNetv4__eegnet_preprocess,EEGNetv4,20,1,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[4, 4]",0.5,False,0.50109655,0.99999399,1,41,41,0.6927980184555054,13
EEGNetv4__eegnet_preprocess,EEGNetv4,20,2,0.75,75.0,0.75,75.0,32,8,"[16, 16]","[4, 4]","[6, 2]",0.75,False,0.50087803,0.9999969,1,41,41,0.6963667869567871,14
