dataset_name,subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
Liu2024_SourceMAT,30,2,0.75,0.75,"[4, 4]",0.5,False,0,0.08852205,0.01242753,0.07575236,True,0.53776226,0.99271902,2170
Liu2024_SourceMAT,30,3,0.5,0.5,"[8, 0]",1.0,True,0,0.05803495,0.00757323,0.04966316,True,0.58857726,0.97247344,2170
Liu2024_SourceMAT,30,4,0.375,0.375,"[5, 3]",0.625,False,0,0.07904351,0.01232877,0.06764114,True,0.53255025,0.99404838,2170
Liu2024_SourceMAT,30,5,0.625,0.625,"[5, 3]",0.625,False,0,0.0777858,0.01219457,0.06656486,True,0.56186783,0.982072,2170
Liu2024_SourceMAT,31,1,0.5,0.5,"[6, 2]",0.75,False,0,0.05169425,0.00787808,0.04423713,True,0.54807545,0.98729233,2170
Liu2024_SourceMAT,31,2,0.5,0.5,"[6, 2]",0.75,False,0,0.01802473,0.00246382,0.01542458,True,0.53884775,0.99407503,2170
Liu2024_SourceMAT,31,3,0.625,0.625,"[5, 3]",0.625,False,0,0.00538514,0.00050001,0.00460831,True,0.52292416,0.99757778,2170
Liu2024_SourceMAT,31,4,0.5,0.5,"[4, 4]",0.5,False,0,0.05838479,0.0080076,0.04996253,True,0.54730885,0.98880904,2170
Liu2024_SourceMAT,31,5,0.5,0.5,"[6, 2]",0.75,False,0,0.04342287,0.0059678,0.03715893,True,0.52373314,0.99740033,2170
Liu2024_SourceMAT,32,1,0.625,0.625,"[5, 3]",0.625,False,0,0.06017034,0.00931309,0.05149051,True,0.56015791,0.9828642,2170
Liu2024_SourceMAT,32,2,0.75,0.75,"[6, 2]",0.75,False,0,0.0539076,0.00781245,0.04613119,True,0.52559789,0.99676885,2170
Liu2024_SourceMAT,32,3,0.5,0.5,"[6, 2]",0.75,False,0,0.00927206,0.00100019,0.00793452,True,0.52810778,0.99668286,2170
Liu2024_SourceMAT,32,4,0.25,0.25,"[4, 4]",0.5,False,0,0.07456281,0.01117903,0.0638068,True,0.52920132,0.99641912,2170
Liu2024_SourceMAT,32,5,0.75,0.75,"[4, 4]",0.5,False,0,0.04355797,0.00691505,0.03727454,True,0.54819211,0.98992468,2170
Liu2024_SourceMAT,33,1,0.75,0.75,"[6, 2]",0.75,False,0,0.06936788,0.01043844,0.05936126,True,0.5364959,0.99510886,2170
Liu2024_SourceMAT,33,2,0.5,0.5,"[6, 2]",0.75,False,0,0.0326546,0.0043565,0.02794404,True,0.52629994,0.99638277,2170
Liu2024_SourceMAT,33,3,0.25,0.25,"[6, 2]",0.75,False,0,0.03967549,0.00555004,0.03395213,True,0.52795049,0.99501718,2170
Liu2024_SourceMAT,33,4,0.625,0.625,"[3, 5]",0.625,False,1,0.04637827,0.00652565,0.039688,True,0.52819486,0.99616638,2170
Liu2024_SourceMAT,33,5,0.5,0.5,"[6, 2]",0.75,False,0,0.00919803,0.00100019,0.00787117,True,0.54592188,0.99245453,2170
