subject_id,window_start_s,band,band_lo,band_hi,mean_accuracy,mean_balanced_accuracy,std_balanced_accuracy,collapse_rate,prediction_histogram_total,n_folds
3,0.0,24-28,24,28,0.475,0.475,0.18371173070873836,0.0,"[23, 17]",5
3,0.0,26-30,26,30,0.475,0.475,0.09354143466934853,0.0,"[23, 17]",5
3,0.0,8-30,8,30,0.425,0.425,0.18708286933869708,0.0,"[21, 19]",5
4,0.0,8-12,8,12,0.55,0.55,0.1,0.0,"[16, 24]",5
4,0.0,10-14,10,14,0.5,0.5,0.15811388300841897,0.0,"[16, 24]",5
4,0.0,12-16,12,16,0.325,0.325,0.06123724356957945,0.0,"[17, 23]",5
4,0.0,14-18,14,18,0.475,0.475,0.1224744871391589,0.0,"[19, 21]",5
4,0.0,16-20,16,20,0.45,0.45,0.16955824957813173,0.0,"[20, 20]",5
4,0.0,18-22,18,22,0.4,0.4,0.09354143466934853,0.0,"[20, 20]",5
4,0.0,20-24,20,24,0.35,0.35,0.1457737973711325,0.0,"[18, 22]",5
4,0.0,22-26,22,26,0.325,0.325,0.16955824957813173,0.2,"[23, 17]",5
4,0.0,24-28,24,28,0.4,0.4,0.1457737973711325,0.0,"[24, 16]",5
4,0.0,26-30,26,30,0.375,0.375,0.13693063937629152,0.0,"[17, 23]",5
4,0.0,8-30,8,30,0.425,0.425,0.12747548783981963,0.0,"[21, 19]",5
5,0.0,8-12,8,12,0.45,0.45,0.12747548783981963,0.0,"[18, 22]",5
5,0.0,10-14,10,14,0.5,0.5,0.1767766952966369,0.0,"[20, 20]",5
5,0.0,12-16,12,16,0.425,0.425,0.1,0.0,"[21, 19]",5
5,0.0,14-18,14,18,0.475,0.475,0.18371173070873836,0.0,"[21, 19]",5
5,0.0,16-20,16,20,0.575,0.575,0.06123724356957946,0.0,"[19, 21]",5
5,0.0,18-22,18,22,0.4,0.4,0.049999999999999996,0.0,"[16, 24]",5
5,0.0,20-24,20,24,0.525,0.525,0.2,0.0,"[15, 25]",5
5,0.0,22-26,22,26,0.475,0.475,0.1457737973711325,0.0,"[19, 21]",5
5,0.0,24-28,24,28,0.575,0.575,0.1695582495781317,0.0,"[19, 21]",5
5,0.0,26-30,26,30,0.5,0.5,0.13693063937629152,0.0,"[18, 22]",5
5,0.0,8-30,8,30,0.425,0.425,0.06123724356957945,0.0,"[17, 23]",5
6,0.0,8-12,8,12,0.4,0.4,0.1457737973711325,0.0,"[18, 22]",5
6,0.0,10-14,10,14,0.4,0.4,0.18371173070873836,0.0,"[20, 20]",5
6,0.0,12-16,12,16,0.325,0.325,0.203100960115899,0.0,"[19, 21]",5
6,0.0,14-18,14,18,0.425,0.425,0.12747548783981963,0.0,"[19, 21]",5
6,0.0,16-20,16,20,0.525,0.525,0.1457737973711325,0.0,"[17, 23]",5
6,0.0,18-22,18,22,0.5,0.5,0.15811388300841897,0.0,"[16, 24]",5
6,0.0,20-24,20,24,0.425,0.425,0.1695582495781317,0.0,"[19, 21]",5
6,0.0,22-26,22,26,0.375,0.375,0.11180339887498948,0.2,"[23, 17]",5
6,0.0,24-28,24,28,0.4,0.4,0.09354143466934853,0.0,"[22, 18]",5
6,0.0,26-30,26,30,0.4,0.4,0.09354143466934853,0.0,"[20, 20]",5
6,0.0,8-30,8,30,0.425,0.425,0.12747548783981963,0.0,"[19, 21]",5
7,0.0,8-12,8,12,0.4,0.4,0.1224744871391589,0.0,"[26, 14]",5
7,0.0,10-14,10,14,0.525,0.525,0.1457737973711325,0.0,"[19, 21]",5
7,0.0,12-16,12,16,0.475,0.475,0.18371173070873836,0.0,"[19, 21]",5
7,0.0,14-18,14,18,0.675,0.675,0.1274754878398196,0.2,"[19, 21]",5
7,0.0,16-20,16,20,0.575,0.575,0.12747548783981963,0.0,"[15, 25]",5
7,0.0,18-22,18,22,0.6,0.6,0.1224744871391589,0.0,"[20, 20]",5
7,0.0,20-24,20,24,0.6,0.6,0.1224744871391589,0.0,"[22, 18]",5
7,0.0,22-26,22,26,0.525,0.525,0.1457737973711325,0.0,"[19, 21]",5
7,0.0,24-28,24,28,0.5,0.5,0.23717082451262844,0.0,"[18, 22]",5
7,0.0,26-30,26,30,0.7,0.7,0.1695582495781317,0.0,"[18, 22]",5
7,0.0,8-30,8,30,0.55,0.55,0.1274754878398196,0.0,"[20, 20]",5
8,0.0,8-12,8,12,0.5,0.5,0.07905694150420949,0.0,"[16, 24]",5
8,0.0,10-14,10,14,0.375,0.375,0.13693063937629152,0.0,"[13, 27]",5
8,0.0,12-16,12,16,0.4,0.4,0.09354143466934853,0.0,"[16, 24]",5
8,0.0,14-18,14,18,0.475,0.475,0.1457737973711325,0.0,"[21, 19]",5
8,0.0,16-20,16,20,0.475,0.475,0.1457737973711325,0.0,"[15, 25]",5
8,0.0,18-22,18,22,0.5,0.5,0.13693063937629152,0.0,"[20, 20]",5
8,0.0,20-24,20,24,0.55,0.55,0.09999999999999999,0.2,"[22, 18]",5
8,0.0,22-26,22,26,0.7,0.7,0.09999999999999999,0.0,"[20, 20]",5
8,0.0,24-28,24,28,0.425,0.425,0.16955824957813173,0.0,"[17, 23]",5
8,0.0,26-30,26,30,0.55,0.55,0.1274754878398196,0.0,"[20, 20]",5
8,0.0,8-30,8,30,0.5,0.5,0.13693063937629152,0.0,"[22, 18]",5
9,0.0,8-12,8,12,0.475,0.475,0.1457737973711325,0.0,"[19, 21]",5
9,0.0,10-14,10,14,0.35,0.35,0.1457737973711325,0.0,"[18, 22]",5
9,0.0,12-16,12,16,0.425,0.425,0.15,0.0,"[13, 27]",5
9,0.0,14-18,14,18,0.45,0.45,0.2318404623873926,0.0,"[20, 20]",5
9,0.0,16-20,16,20,0.325,0.325,0.06123724356957945,0.0,"[21, 19]",5
9,0.0,18-22,18,22,0.375,0.375,0.13693063937629152,0.0,"[19, 21]",5
9,0.0,20-24,20,24,0.55,0.55,0.09999999999999999,0.0,"[18, 22]",5
9,0.0,22-26,22,26,0.5,0.5,0.07905694150420949,0.0,"[16, 24]",5
9,0.0,24-28,24,28,0.325,0.325,0.12747548783981963,0.0,"[19, 21]",5
9,0.0,26-30,26,30,0.325,0.325,0.06123724356957945,0.0,"[19, 21]",5
9,0.0,8-30,8,30,0.275,0.275,0.09354143466934853,0.0,"[17, 23]",5
10,0.0,8-12,8,12,0.5,0.5,0.07905694150420949,0.2,"[18, 22]",5
10,0.0,10-14,10,14,0.525,0.525,0.1457737973711325,0.0,"[23, 17]",5
10,0.0,12-16,12,16,0.525,0.525,0.16583123951777,0.0,"[17, 23]",5
10,0.0,14-18,14,18,0.55,0.55,0.1274754878398196,0.0,"[22, 18]",5
10,0.0,16-20,16,20,0.4,0.4,0.24238399287081647,0.0,"[22, 18]",5
10,0.0,18-22,18,22,0.45,0.45,0.12747548783981963,0.0,"[14, 26]",5
10,0.0,20-24,20,24,0.525,0.525,0.22912878474779202,0.0,"[19, 21]",5
10,0.0,22-26,22,26,0.45,0.45,0.16955824957813173,0.2,"[20, 20]",5
10,0.0,24-28,24,28,0.575,0.575,0.1274754878398196,0.0,"[19, 21]",5
10,0.0,26-30,26,30,0.575,0.575,0.1274754878398196,0.0,"[23, 17]",5
10,0.0,8-30,8,30,0.45,0.45,0.12747548783981963,0.0,"[20, 20]",5
11,0.0,8-12,8,12,0.425,0.425,0.12747548783981963,0.0,"[21, 19]",5
11,0.0,10-14,10,14,0.3,0.3,0.18708286933869706,0.0,"[20, 20]",5
11,0.0,12-16,12,16,0.3,0.3,0.12747548783981963,0.0,"[22, 18]",5
11,0.0,14-18,14,18,0.425,0.425,0.12747548783981963,0.0,"[17, 23]",5
11,0.0,16-20,16,20,0.35,0.35,0.09354143466934853,0.0,"[20, 20]",5
11,0.0,18-22,18,22,0.45,0.45,0.16955824957813173,0.0,"[16, 24]",5
11,0.0,20-24,20,24,0.475,0.475,0.09354143466934853,0.0,"[15, 25]",5
11,0.0,22-26,22,26,0.425,0.425,0.06123724356957945,0.0,"[17, 23]",5
11,0.0,24-28,24,28,0.4,0.4,0.09354143466934853,0.0,"[16, 24]",5
11,0.0,26-30,26,30,0.3,0.3,0.06123724356957945,0.0,"[20, 20]",5
11,0.0,8-30,8,30,0.25,0.25,0.1767766952966369,0.0,"[16, 24]",5
12,0.0,8-12,8,12,0.525,0.525,0.1224744871391589,0.2,"[17, 23]",5
12,0.0,10-14,10,14,0.5,0.5,0.1767766952966369,0.2,"[22, 18]",5
12,0.0,12-16,12,16,0.55,0.55,0.1,0.2,"[22, 18]",5
12,0.0,14-18,14,18,0.55,0.55,0.09999999999999999,0.0,"[20, 20]",5
12,0.0,16-20,16,20,0.375,0.375,0.2091650066335189,0.2,"[17, 23]",5
12,0.0,18-22,18,22,0.375,0.375,0.11180339887498948,0.2,"[21, 19]",5
12,0.0,20-24,20,24,0.425,0.425,0.18708286933869706,0.0,"[23, 17]",5
12,0.0,22-26,22,26,0.475,0.475,0.16583123951777,0.0,"[21, 19]",5
12,0.0,24-28,24,28,0.425,0.425,0.10000000000000002,0.0,"[23, 17]",5
12,0.0,26-30,26,30,0.4,0.4,0.16583123951777,0.0,"[26, 14]",5
12,0.0,8-30,8,30,0.525,0.525,0.09354143466934853,0.2,"[21, 19]",5
13,0.0,8-12,8,12,0.4,0.4,0.1224744871391589,0.0,"[26, 14]",5
13,0.0,10-14,10,14,0.4,0.4,0.1457737973711325,0.0,"[24, 16]",5
13,0.0,12-16,12,16,0.475,0.475,0.1224744871391589,0.2,"[27, 13]",5
13,0.0,14-18,14,18,0.525,0.525,0.049999999999999996,0.2,"[27, 13]",5
13,0.0,16-20,16,20,0.475,0.475,0.16583123951777,0.0,"[21, 19]",5
13,0.0,18-22,18,22,0.475,0.475,0.1457737973711325,0.0,"[17, 23]",5
13,0.0,20-24,20,24,0.425,0.425,0.15,0.2,"[15, 25]",5
13,0.0,22-26,22,26,0.525,0.525,0.16583123951777,0.0,"[23, 17]",5
13,0.0,24-28,24,28,0.55,0.55,0.18708286933869706,0.2,"[24, 16]",5
13,0.0,26-30,26,30,0.425,0.425,0.12747548783981963,0.0,"[19, 21]",5
13,0.0,8-30,8,30,0.4,0.4,0.09354143466934853,0.0,"[26, 14]",5
14,0.0,8-12,8,12,0.4,0.4,0.09354143466934853,0.0,"[22, 18]",5
14,0.0,10-14,10,14,0.425,0.425,0.16955824957813173,0.0,"[21, 19]",5
14,0.0,12-16,12,16,0.375,0.375,0.13693063937629152,0.0,"[23, 17]",5
14,0.0,14-18,14,18,0.55,0.55,0.1274754878398196,0.0,"[24, 16]",5
14,0.0,16-20,16,20,0.5,0.5,0.11180339887498948,0.0,"[18, 22]",5
14,0.0,18-22,18,22,0.5,0.5,0.07905694150420949,0.0,"[22, 18]",5
14,0.0,20-24,20,24,0.5,0.5,0.15811388300841897,0.0,"[24, 16]",5
14,0.0,22-26,22,26,0.475,0.475,0.2783882181415011,0.0,"[15, 25]",5
14,0.0,24-28,24,28,0.475,0.475,0.09354143466934853,0.0,"[17, 23]",5
14,0.0,26-30,26,30,0.325,0.325,0.1,0.0,"[15, 25]",5
14,0.0,8-30,8,30,0.425,0.425,0.1,0.2,"[27, 13]",5
15,0.0,8-12,8,12,0.55,0.55,0.18708286933869706,0.0,"[16, 24]",5
15,0.0,10-14,10,14,0.35,0.35,0.2,0.0,"[14, 26]",5
15,0.0,12-16,12,16,0.4,0.4,0.049999999999999996,0.0,"[18, 22]",5
15,0.0,14-18,14,18,0.475,0.475,0.16583123951777,0.0,"[23, 17]",5
15,0.0,16-20,16,20,0.55,0.55,0.203100960115899,0.0,"[18, 22]",5
15,0.0,18-22,18,22,0.425,0.425,0.203100960115899,0.0,"[23, 17]",5
15,0.0,20-24,20,24,0.325,0.325,0.203100960115899,0.0,"[17, 23]",5
15,0.0,22-26,22,26,0.55,0.55,0.1274754878398196,0.0,"[18, 22]",5
15,0.0,24-28,24,28,0.475,0.475,0.1837117307087384,0.0,"[21, 19]",5
15,0.0,26-30,26,30,0.425,0.425,0.18708286933869708,0.0,"[23, 17]",5
15,0.0,8-30,8,30,0.55,0.55,0.15,0.0,"[22, 18]",5
16,0.0,8-12,8,12,0.525,0.525,0.1224744871391589,0.0,"[21, 19]",5
16,0.0,10-14,10,14,0.475,0.475,0.18371173070873836,0.0,"[23, 17]",5
16,0.0,12-16,12,16,0.5,0.5,0.22360679774997896,0.0,"[22, 18]",5
16,0.0,14-18,14,18,0.525,0.525,0.19999999999999998,0.0,"[23, 17]",5
16,0.0,16-20,16,20,0.5,0.5,0.1767766952966369,0.0,"[20, 20]",5
16,0.0,18-22,18,22,0.6,0.6,0.24238399287081647,0.0,"[24, 16]",5
16,0.0,20-24,20,24,0.525,0.525,0.24238399287081647,0.0,"[21, 19]",5
16,0.0,22-26,22,26,0.425,0.425,0.18708286933869706,0.0,"[21, 19]",5
16,0.0,24-28,24,28,0.55,0.55,0.1695582495781317,0.0,"[20, 20]",5
16,0.0,26-30,26,30,0.55,0.55,0.203100960115899,0.0,"[22, 18]",5
16,0.0,8-30,8,30,0.475,0.475,0.18371173070873836,0.0,"[23, 17]",5
17,0.0,8-12,8,12,0.45,0.45,0.1,0.0,"[26, 14]",5
17,0.0,10-14,10,14,0.65,0.65,0.1457737973711325,0.0,"[20, 20]",5
17,0.0,12-16,12,16,0.475,0.475,0.049999999999999996,0.2,"[23, 17]",5
17,0.0,14-18,14,18,0.45,0.45,0.15000000000000002,0.0,"[18, 22]",5
17,0.0,16-20,16,20,0.3,0.3,0.12747548783981963,0.0,"[20, 20]",5
17,0.0,18-22,18,22,0.475,0.475,0.1457737973711325,0.0,"[15, 25]",5
17,0.0,20-24,20,24,0.475,0.475,0.1457737973711325,0.0,"[17, 23]",5
17,0.0,22-26,22,26,0.525,0.525,0.16583123951777,0.0,"[23, 17]",5
17,0.0,24-28,24,28,0.475,0.475,0.2669269563007828,0.0,"[21, 19]",5
17,0.0,26-30,26,30,0.375,0.375,0.1767766952966369,0.0,"[19, 21]",5
17,0.0,8-30,8,30,0.525,0.525,0.18371173070873836,0.0,"[19, 21]",5
18,0.0,8-12,8,12,0.4,0.4,0.1457737973711325,0.0,"[18, 22]",5
18,0.0,10-14,10,14,0.325,0.325,0.10000000000000002,0.0,"[19, 21]",5
18,0.0,12-16,12,16,0.4,0.4,0.1224744871391589,0.0,"[20, 20]",5
18,0.0,14-18,14,18,0.375,0.375,0.07905694150420949,0.0,"[21, 19]",5
18,0.0,16-20,16,20,0.325,0.325,0.06123724356957945,0.0,"[17, 23]",5
18,0.0,18-22,18,22,0.525,0.525,0.09354143466934853,0.0,"[19, 21]",5
18,0.0,20-24,20,24,0.425,0.425,0.10000000000000002,0.0,"[21, 19]",5
18,0.0,22-26,22,26,0.375,0.375,0.13693063937629152,0.0,"[19, 21]",5
18,0.0,24-28,24,28,0.325,0.325,0.12747548783981963,0.0,"[15, 25]",5
18,0.0,26-30,26,30,0.35,0.35,0.09354143466934853,0.0,"[22, 18]",5
18,0.0,8-30,8,30,0.425,0.425,0.16955824957813173,0.0,"[13, 27]",5
19,0.0,8-12,8,12,0.55,0.55,0.203100960115899,0.0,"[24, 16]",5
19,0.0,10-14,10,14,0.625,0.625,0.15811388300841897,0.0,"[25, 15]",5
19,0.0,12-16,12,16,0.6,0.6,0.18371173070873836,0.0,"[26, 14]",5
19,0.0,14-18,14,18,0.45,0.45,0.12747548783981963,0.0,"[26, 14]",5
19,0.0,16-20,16,20,0.525,0.525,0.18371173070873836,0.0,"[21, 19]",5
19,0.0,18-22,18,22,0.45,0.45,0.18708286933869706,0.0,"[24, 16]",5
19,0.0,20-24,20,24,0.5,0.5,0.15811388300841897,0.0,"[26, 14]",5
19,0.0,22-26,22,26,0.525,0.525,0.16583123951777,0.2,"[25, 15]",5
19,0.0,24-28,24,28,0.45,0.45,0.10000000000000002,0.2,"[22, 18]",5
19,0.0,26-30,26,30,0.475,0.475,0.049999999999999996,0.2,"[25, 15]",5
19,0.0,8-30,8,30,0.5,0.5,0.15811388300841897,0.0,"[28, 12]",5
20,0.0,8-12,8,12,0.5,0.5,0.13693063937629152,0.0,"[20, 20]",5
20,0.0,10-14,10,14,0.5,0.5,0.07905694150420949,0.0,"[18, 22]",5
20,0.0,12-16,12,16,0.575,0.575,0.21794494717703367,0.0,"[21, 19]",5
20,0.0,14-18,14,18,0.475,0.475,0.16583123951777,0.0,"[21, 19]",5
20,0.0,16-20,16,20,0.4,0.4,0.1837117307087384,0.0,"[18, 22]",5
20,0.0,18-22,18,22,0.525,0.525,0.18371173070873836,0.0,"[21, 19]",5
20,0.0,20-24,20,24,0.4,0.4,0.09354143466934853,0.0,"[22, 18]",5
20,0.0,22-26,22,26,0.4,0.4,0.09354143466934853,0.0,"[22, 18]",5
20,0.0,24-28,24,28,0.45,0.45,0.06123724356957945,0.0,"[26, 14]",5
20,0.0,26-30,26,30,0.425,0.425,0.15000000000000002,0.0,"[25, 15]",5
20,0.0,8-30,8,30,0.4,0.4,0.18371173070873836,0.0,"[22, 18]",5
21,0.0,8-12,8,12,0.275,0.275,0.1457737973711325,0.0,"[25, 15]",5
21,0.0,10-14,10,14,0.3,0.3,0.12747548783981963,0.0,"[24, 16]",5
21,0.0,12-16,12,16,0.375,0.375,0.13693063937629152,0.0,"[25, 15]",5
21,0.0,14-18,14,18,0.225,0.225,0.14577379737113252,0.0,"[23, 17]",5
21,0.0,16-20,16,20,0.3,0.3,0.16955824957813173,0.0,"[22, 18]",5
21,0.0,18-22,18,22,0.175,0.175,0.10000000000000002,0.0,"[19, 21]",5
21,0.0,20-24,20,24,0.15,0.15,0.05,0.0,"[22, 18]",5
21,0.0,22-26,22,26,0.2,0.2,0.21794494717703367,0.0,"[20, 20]",5
21,0.0,24-28,24,28,0.3,0.3,0.2692582403567252,0.0,"[16, 24]",5
21,0.0,26-30,26,30,0.275,0.275,0.2150581316760657,0.0,"[17, 23]",5
21,0.0,8-30,8,30,0.225,0.225,0.14577379737113252,0.0,"[23, 17]",5
22,0.0,8-12,8,12,0.475,0.475,0.16583123951777,0.0,"[19, 21]",5
22,0.0,10-14,10,14,0.5,0.5,0.22360679774997896,0.0,"[16, 24]",5
22,0.0,12-16,12,16,0.55,0.55,0.09999999999999999,0.0,"[22, 18]",5
22,0.0,14-18,14,18,0.65,0.65,0.1224744871391589,0.0,"[20, 20]",5
22,0.0,16-20,16,20,0.475,0.475,0.1457737973711325,0.0,"[21, 19]",5
22,0.0,18-22,18,22,0.475,0.475,0.16583123951777,0.0,"[19, 21]",5
22,0.0,20-24,20,24,0.625,0.625,0.07905694150420949,0.0,"[19, 21]",5
22,0.0,22-26,22,26,0.5,0.5,0.13693063937629152,0.0,"[22, 18]",5
22,0.0,24-28,24,28,0.575,0.575,0.1695582495781317,0.0,"[19, 21]",5
22,0.0,26-30,26,30,0.575,0.575,0.1695582495781317,0.0,"[21, 19]",5
22,0.0,8-30,8,30,0.45,0.45,0.12747548783981963,0.0,"[18, 22]",5
23,0.0,8-12,8,12,0.675,0.675,0.15,0.0,"[19, 21]",5
23,0.0,10-14,10,14,0.575,0.575,0.1,0.0,"[11, 29]",5
23,0.0,12-16,12,16,0.55,0.55,0.1274754878398196,0.0,"[16, 24]",5
23,0.0,14-18,14,18,0.475,0.475,0.049999999999999996,0.4,"[21, 19]",5
23,0.0,16-20,16,20,0.625,0.625,0.15811388300841897,0.0,"[21, 19]",5
23,0.0,18-22,18,22,0.525,0.525,0.1457737973711325,0.0,"[17, 23]",5
23,0.0,20-24,20,24,0.5,0.5,0.15811388300841897,0.2,"[24, 16]",5
23,0.0,22-26,22,26,0.65,0.65,0.09354143466934853,0.0,"[20, 20]",5
23,0.0,24-28,24,28,0.375,0.375,0.1767766952966369,0.0,"[17, 23]",5
23,0.0,26-30,26,30,0.525,0.525,0.21505813167606566,0.0,"[17, 23]",5
23,0.0,8-30,8,30,0.7,0.7,0.1695582495781317,0.0,"[18, 22]",5
24,0.0,8-12,8,12,0.6,0.6,0.18371173070873836,0.0,"[16, 24]",5
24,0.0,10-14,10,14,0.525,0.525,0.24238399287081647,0.0,"[19, 21]",5
24,0.0,12-16,12,16,0.4,0.4,0.16583123951777,0.0,"[16, 24]",5
24,0.0,14-18,14,18,0.425,0.425,0.15,0.2,"[17, 23]",5
24,0.0,16-20,16,20,0.475,0.475,0.09354143466934853,0.0,"[15, 25]",5
24,0.0,18-22,18,22,0.45,0.45,0.12747548783981963,0.0,"[20, 20]",5
24,0.0,20-24,20,24,0.4,0.4,0.1224744871391589,0.0,"[24, 16]",5
24,0.0,22-26,22,26,0.5,0.5,0.13693063937629152,0.0,"[24, 16]",5
24,0.0,24-28,24,28,0.5,0.5,0.07905694150420949,0.0,"[18, 22]",5
24,0.0,26-30,26,30,0.4,0.4,0.21505813167606566,0.0,"[20, 20]",5
24,0.0,8-30,8,30,0.5,0.5,0.1767766952966369,0.0,"[18, 22]",5
25,0.0,8-12,8,12,0.425,0.425,0.1,0.0,"[21, 19]",5
25,0.0,10-14,10,14,0.525,0.525,0.2,0.2,"[19, 21]",5
25,0.0,12-16,12,16,0.4,0.4,0.1457737973711325,0.0,"[18, 22]",5
25,0.0,14-18,14,18,0.35,0.35,0.1457737973711325,0.0,"[20, 20]",5
25,0.0,16-20,16,20,0.5,0.5,0.15811388300841897,0.0,"[22, 18]",5
25,0.0,18-22,18,22,0.5,0.5,0.07905694150420949,0.0,"[16, 24]",5
25,0.0,20-24,20,24,0.7,0.7,0.2449489742783178,0.0,"[20, 20]",5
25,0.0,22-26,22,26,0.575,0.575,0.15,0.0,"[19, 21]",5
25,0.0,24-28,24,28,0.5,0.5,0.15811388300841897,0.0,"[16, 24]",5
25,0.0,26-30,26,30,0.425,0.425,0.15,0.2,"[17, 23]",5
25,0.0,8-30,8,30,0.475,0.475,0.1224744871391589,0.0,"[23, 17]",5
26,0.0,8-12,8,12,0.375,0.375,0.22360679774997896,0.0,"[23, 17]",5
26,0.0,10-14,10,14,0.4,0.4,0.1457737973711325,0.0,"[22, 18]",5
26,0.0,12-16,12,16,0.45,0.45,0.12747548783981963,0.0,"[22, 18]",5
26,0.0,14-18,14,18,0.35,0.35,0.18371173070873836,0.0,"[22, 18]",5
26,0.0,16-20,16,20,0.25,0.25,0.13693063937629152,0.0,"[20, 20]",5
26,0.0,18-22,18,22,0.275,0.275,0.1457737973711325,0.0,"[17, 23]",5
26,0.0,20-24,20,24,0.275,0.275,0.049999999999999996,0.0,"[25, 15]",5
26,0.0,22-26,22,26,0.275,0.275,0.1224744871391589,0.0,"[23, 17]",5
26,0.0,24-28,24,28,0.425,0.425,0.1,0.0,"[23, 17]",5
26,0.0,26-30,26,30,0.45,0.45,0.16955824957813173,0.0,"[24, 16]",5
26,0.0,8-30,8,30,0.25,0.25,0.07905694150420949,0.0,"[24, 16]",5
27,0.0,8-12,8,12,0.3,0.3,0.06123724356957945,0.0,"[22, 18]",5
27,0.0,10-14,10,14,0.4,0.4,0.09354143466934853,0.0,"[16, 24]",5
27,0.0,12-16,12,16,0.5,0.5,0.11180339887498948,0.0,"[18, 22]",5
27,0.0,14-18,14,18,0.4,0.4,0.09354143466934853,0.0,"[22, 18]",5
27,0.0,16-20,16,20,0.4,0.4,0.1224744871391589,0.2,"[26, 14]",5
27,0.0,18-22,18,22,0.5,0.5,0.07905694150420949,0.0,"[18, 22]",5
27,0.0,20-24,20,24,0.425,0.425,0.10000000000000002,0.0,"[21, 19]",5
27,0.0,22-26,22,26,0.4,0.4,0.09354143466934853,0.0,"[22, 18]",5
27,0.0,24-28,24,28,0.475,0.475,0.2150581316760657,0.0,"[21, 19]",5
27,0.0,26-30,26,30,0.35,0.35,0.1457737973711325,0.0,"[22, 18]",5
27,0.0,8-30,8,30,0.35,0.35,0.049999999999999996,0.0,"[18, 22]",5
28,0.0,8-12,8,12,0.575,0.575,0.1274754878398196,0.0,"[21, 19]",5
28,0.0,10-14,10,14,0.45,0.45,0.15000000000000002,0.0,"[18, 22]",5
28,0.0,12-16,12,16,0.525,0.525,0.18371173070873836,0.0,"[21, 19]",5
28,0.0,14-18,14,18,0.5,0.5,0.07905694150420949,0.0,"[18, 22]",5
28,0.0,16-20,16,20,0.575,0.575,0.06123724356957946,0.0,"[19, 21]",5
28,0.0,18-22,18,22,0.525,0.525,0.09354143466934853,0.4,"[17, 23]",5
28,0.0,20-24,20,24,0.575,0.575,0.1274754878398196,0.0,"[19, 21]",5
28,0.0,22-26,22,26,0.5,0.5,0.07905694150420949,0.0,"[20, 20]",5
28,0.0,24-28,24,28,0.4,0.4,0.049999999999999996,0.0,"[20, 20]",5
28,0.0,26-30,26,30,0.6,0.6,0.09354143466934853,0.0,"[24, 16]",5
28,0.0,8-30,8,30,0.55,0.55,0.203100960115899,0.0,"[18, 22]",5
29,0.0,8-12,8,12,0.375,0.375,0.15811388300841897,0.0,"[19, 21]",5
29,0.0,10-14,10,14,0.475,0.475,0.1224744871391589,0.0,"[17, 23]",5
