subject_id,rep,band,accuracy,balanced_accuracy
4,0,15-30,0.375,0.375
4,0,20-30,0.4375,0.4375
4,0,8-15,0.5625,0.5625
4,1,8-12,0.375,0.5454545454545454
4,1,8-20,0.3125,0.5
4,1,8-30,0.3125,0.3909090909090909
4,1,12-20,0.4375,0.5909090909090909
4,1,15-20,0.375,0.5454545454545454
4,1,15-30,0.3125,0.4454545454545455
4,1,20-30,0.375,0.49090909090909096
4,1,8-15,0.25,0.4
4,2,8-12,0.375,0.42857142857142855
4,2,8-20,0.5625,0.5634920634920635
4,2,8-30,0.5,0.4920634920634921
4,2,12-20,0.5625,0.5476190476190476
4,2,15-20,0.5,0.5238095238095238
4,2,15-30,0.375,0.3968253968253968
4,2,20-30,0.5625,0.5634920634920635
4,2,8-15,0.375,0.38095238095238093
4,3,8-12,0.5,0.5
4,3,8-20,0.625,0.625
4,3,8-30,0.5625,0.5625
4,3,12-20,0.5,0.5
4,3,15-20,0.375,0.375
4,3,15-30,0.3125,0.3125
4,3,20-30,0.25,0.25
4,3,8-15,0.5625,0.5625
4,4,8-12,0.3125,0.3909090909090909
4,4,8-20,0.375,0.49090909090909096
4,4,8-30,0.375,0.5454545454545454
4,4,12-20,0.375,0.5454545454545454
4,4,15-20,0.375,0.5454545454545454
4,4,15-30,0.4375,0.5909090909090909
4,4,20-30,0.5,0.6363636363636364
4,4,8-15,0.3125,0.4454545454545455
4,5,8-12,0.5,0.5
4,5,8-20,0.4375,0.4375
4,5,8-30,0.4375,0.4375
4,5,12-20,0.5,0.5
4,5,15-20,0.5625,0.5625
4,5,15-30,0.3125,0.3125
4,5,20-30,0.4375,0.4375
4,5,8-15,0.625,0.625
4,6,8-12,0.375,0.4666666666666667
4,6,8-20,0.5,0.5666666666666667
4,6,8-30,0.375,0.4666666666666667
4,6,12-20,0.4375,0.5166666666666667
4,6,15-20,0.4375,0.5166666666666667
4,6,15-30,0.25,0.3333333333333333
4,6,20-30,0.1875,0.25
4,6,8-15,0.5,0.5333333333333333
4,7,8-12,0.3125,0.30952380952380953
4,7,8-20,0.5625,0.5793650793650793
4,7,8-30,0.5,0.4920634920634921
4,7,12-20,0.5625,0.5793650793650793
4,7,15-20,0.5625,0.5634920634920635
4,7,15-30,0.375,0.4126984126984127
4,7,20-30,0.5,0.5238095238095238
4,7,8-15,0.5625,0.5793650793650793
4,8,8-12,0.375,0.38095238095238093
4,8,8-20,0.5,0.5238095238095238
4,8,8-30,0.5625,0.5634920634920635
4,8,12-20,0.625,0.6507936507936507
4,8,15-20,0.375,0.38095238095238093
4,8,15-30,0.5,0.47619047619047616
4,8,20-30,0.25,0.25396825396825395
4,8,8-15,0.4375,0.45238095238095233
4,9,8-12,0.4375,0.45238095238095233
4,9,8-20,0.5625,0.5476190476190476
4,9,8-30,0.375,0.36507936507936506
4,9,12-20,0.5625,0.5317460317460317
4,9,15-20,0.25,0.25396825396825395
4,9,15-30,0.3125,0.32539682539682535
4,9,20-30,0.3125,0.30952380952380953
4,9,8-15,0.4375,0.4365079365079365
5,0,8-12,0.5625,0.5625
5,0,8-20,0.375,0.375
5,0,8-30,0.4375,0.4375
5,0,12-20,0.5625,0.5625
5,0,15-20,0.5,0.5
5,0,15-30,0.375,0.375
5,0,20-30,0.3125,0.3125
5,0,8-15,0.5,0.5
5,1,8-12,0.4375,0.4365079365079365
5,1,8-20,0.5,0.5238095238095238
5,1,8-30,0.5625,0.5634920634920635
5,1,12-20,0.6875,0.6904761904761905
5,1,15-20,0.4375,0.4365079365079365
5,1,15-30,0.375,0.36507936507936506
5,1,20-30,0.375,0.4126984126984127
5,1,8-15,0.5625,0.5952380952380952
5,2,8-12,0.4375,0.4833333333333333
5,2,8-20,0.3125,0.35
5,2,8-30,0.4375,0.5166666666666667
5,2,12-20,0.5,0.5333333333333333
5,2,15-20,0.4375,0.4833333333333333
5,2,15-30,0.5,0.5666666666666667
5,2,20-30,0.5625,0.65
5,2,8-15,0.4375,0.4833333333333333
5,3,8-12,0.5,0.5
5,3,8-20,0.5,0.5
5,3,8-30,0.5,0.5
5,3,12-20,0.5,0.5
5,3,15-20,0.3125,0.3125
5,3,15-30,0.375,0.375
5,3,20-30,0.5,0.5
5,3,8-15,0.4375,0.4375
5,4,8-12,0.5,0.5333333333333333
5,4,8-20,0.375,0.4666666666666667
5,4,8-30,0.25,0.3333333333333333
5,4,12-20,0.5,0.6
5,4,15-20,0.3125,0.3833333333333333
5,4,15-30,0.1875,0.25
5,4,20-30,0.25,0.3
5,4,8-15,0.625,0.6666666666666667
5,5,8-12,0.625,0.625
5,5,8-20,0.4375,0.4375
5,5,8-30,0.5625,0.5625
5,5,12-20,0.6875,0.6875
5,5,15-20,0.625,0.625
5,5,15-30,0.625,0.625
5,5,20-30,0.375,0.375
5,5,8-15,0.625,0.625
5,6,8-12,0.5,0.5333333333333333
5,6,8-20,0.375,0.43333333333333335
5,6,8-30,0.4375,0.5166666666666667
5,6,12-20,0.3125,0.4166666666666667
5,6,15-20,0.3125,0.3833333333333333
5,6,15-30,0.5625,0.6166666666666667
5,6,20-30,0.4375,0.5166666666666667
5,6,8-15,0.5,0.5333333333333333
5,7,8-12,0.5,0.5
5,7,8-20,0.5625,0.5625
5,7,8-30,0.625,0.625
5,7,12-20,0.75,0.75
5,7,15-20,0.375,0.375
5,7,15-30,0.375,0.375
5,7,20-30,0.4375,0.4375
5,7,8-15,0.625,0.625
5,8,8-12,0.625,0.6666666666666666
5,8,8-20,0.5625,0.5952380952380952
5,8,8-30,0.3125,0.30952380952380953
5,8,12-20,0.4375,0.45238095238095233
5,8,15-20,0.375,0.4126984126984127
5,8,15-30,0.4375,0.4365079365079365
5,8,20-30,0.5625,0.6111111111111112
5,8,8-15,0.375,0.4126984126984127
5,9,8-12,0.4375,0.4841269841269841
5,9,8-20,0.5625,0.6111111111111112
5,9,8-30,0.3125,0.35714285714285715
5,9,12-20,0.5625,0.6111111111111112
5,9,15-20,0.5625,0.6111111111111112
5,9,15-30,0.4375,0.4365079365079365
5,9,20-30,0.4375,0.4365079365079365
5,9,8-15,0.6875,0.7222222222222222
6,0,8-12,0.8125,0.8125
6,0,8-20,0.625,0.625
6,0,8-30,0.5,0.5
6,0,12-20,0.625,0.625
6,0,15-20,0.5,0.5
6,0,15-30,0.375,0.375
6,0,20-30,0.375,0.375
6,0,8-15,0.5625,0.5625
6,1,8-12,0.375,0.4666666666666667
6,1,8-20,0.4375,0.5166666666666667
6,1,8-30,0.4375,0.45
6,1,12-20,0.3125,0.35
6,1,15-20,0.25,0.3
6,1,15-30,0.3125,0.31666666666666665
6,1,20-30,0.4375,0.41666666666666663
6,1,8-15,0.375,0.4666666666666667
6,2,8-12,0.5,0.5079365079365079
6,2,8-20,0.4375,0.45238095238095233
6,2,8-30,0.3125,0.30952380952380953
6,2,12-20,0.5,0.5079365079365079
6,2,15-20,0.3125,0.30952380952380953
6,2,15-30,0.375,0.36507936507936506
6,2,20-30,0.3125,0.30952380952380953
6,2,8-15,0.375,0.36507936507936506
6,3,8-12,0.4375,0.55
6,3,8-20,0.375,0.4666666666666667
6,3,8-30,0.5,0.5666666666666667
6,3,12-20,0.375,0.4
6,3,15-20,0.3125,0.35
6,3,15-30,0.25,0.23333333333333334
6,3,20-30,0.4375,0.4833333333333333
6,3,8-15,0.5,0.6
6,4,8-12,0.3125,0.35
6,4,8-20,0.5625,0.6166666666666667
6,4,8-30,0.5625,0.6166666666666667
6,4,12-20,0.375,0.4666666666666667
6,4,15-20,0.4375,0.45
6,4,15-30,0.625,0.6333333333333333
6,4,20-30,0.4375,0.45
6,4,8-15,0.4375,0.45
6,5,8-12,0.4375,0.46825396825396826
6,5,8-20,0.3125,0.32539682539682535
