subject_id,fold_id,model_name,n_train,n_test,train_class_counts,test_class_counts,feature_band,n_csp_components,accuracy,balanced_accuracy,confusion_matrix,prediction_histogram,roc_auc,n_filter_bands,n_csp_components_per_band
2,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.5,,
2,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",0.125,9.0,4.0
2,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[4, 0], [3, 1]]","[7, 1]",0.625,,
2,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.25,9.0,4.0
3,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.25,,
3,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.3125,9.0,4.0
3,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.4375,,
3,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.6875,9.0,4.0
3,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.5,,
3,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[4, 0], [4, 0]]","[8, 0]",0.75,9.0,4.0
3,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.5,,
3,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.8125,9.0,4.0
3,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.3125,,
3,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[2, 2], [4, 0]]","[6, 2]",0.375,9.0,4.0
4,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.375,,
4,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",0.25,9.0,4.0
4,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.25,0.25,"[[2, 2], [4, 0]]","[6, 2]",0.4375,,
4,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.5,9.0,4.0
4,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.25,,
4,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.375,9.0,4.0
4,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.1875,,
4,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[0, 4], [2, 2]]","[2, 6]",0.3125,9.0,4.0
4,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.25,0.25,"[[2, 2], [4, 0]]","[6, 2]",0.125,,
4,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",0.625,9.0,4.0
5,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.375,,
5,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.625,9.0,4.0
5,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.5625,,
5,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.4375,9.0,4.0
5,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.8125,,
5,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.4375,9.0,4.0
5,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.6875,,
5,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.4375,9.0,4.0
5,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.4375,,
5,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.625,9.0,4.0
6,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.25,,
6,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[2, 2], [4, 0]]","[6, 2]",0.25,9.0,4.0
6,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.3125,,
6,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.5,9.0,4.0
6,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",0.25,,
6,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.4375,9.0,4.0
6,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.5,,
6,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.75,9.0,4.0
6,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.375,,
6,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.375,9.0,4.0
7,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.5625,,
7,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.25,9.0,4.0
7,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.6875,,
7,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.625,9.0,4.0
7,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,1.0,1.0,"[[4, 0], [0, 4]]","[4, 4]",1.0,,
7,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.8125,9.0,4.0
7,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.5625,,
7,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.3125,9.0,4.0
7,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[2, 2], [0, 4]]","[2, 6]",0.75,,
7,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.875,9.0,4.0
8,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",0.125,,
8,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[2, 2], [4, 0]]","[6, 2]",0.25,9.0,4.0
8,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.5625,,
8,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.5,9.0,4.0
8,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.5,,
8,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.4375,9.0,4.0
8,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.125,0.125,"[[0, 4], [3, 1]]","[3, 5]",0.0,,
8,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.5,9.0,4.0
8,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[2, 2], [0, 4]]","[2, 6]",0.75,,
8,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.625,9.0,4.0
9,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[0, 4], [1, 3]]","[1, 7]",0.3125,,
9,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[2, 2], [4, 0]]","[6, 2]",0.0625,9.0,4.0
9,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.625,,
9,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.3125,9.0,4.0
9,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.4375,,
9,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.625,9.0,4.0
9,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.625,,
9,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.8125,9.0,4.0
9,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.6875,,
9,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.375,9.0,4.0
10,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[3, 1], [4, 0]]","[7, 1]",0.375,,
10,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.3125,9.0,4.0
10,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.625,,
10,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.375,9.0,4.0
10,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",0.375,,
10,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.5625,9.0,4.0
10,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.6875,,
10,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.5,9.0,4.0
10,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.75,,
10,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.4375,9.0,4.0
11,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.125,0.125,"[[1, 3], [4, 0]]","[5, 3]",0.0,,
11,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",0.1875,9.0,4.0
11,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.4375,,
11,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.75,9.0,4.0
11,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.125,0.125,"[[0, 4], [3, 1]]","[3, 5]",0.25,,
11,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.3125,9.0,4.0
11,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.625,,
11,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.6875,9.0,4.0
11,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[2, 2], [0, 4]]","[2, 6]",0.6875,,
11,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.625,9.0,4.0
12,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[3, 1], [4, 0]]","[7, 1]",0.375,,
12,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.4375,9.0,4.0
12,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.5,,
12,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.4375,9.0,4.0
12,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.875,0.875,"[[4, 0], [1, 3]]","[5, 3]",1.0,,
12,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[0, 4], [1, 3]]","[1, 7]",0.4375,9.0,4.0
12,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.8125,,
12,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.5625,9.0,4.0
12,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.75,,
12,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[3, 1], [4, 0]]","[7, 1]",0.4375,9.0,4.0
13,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[3, 1], [4, 0]]","[7, 1]",0.4375,,
13,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.8125,9.0,4.0
13,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.75,,
13,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.5625,9.0,4.0
13,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[2, 2], [0, 4]]","[2, 6]",0.625,,
13,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[2, 2], [0, 4]]","[2, 6]",0.875,9.0,4.0
13,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.5625,,
13,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.5625,9.0,4.0
13,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.5,,
13,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[4, 0], [3, 1]]","[7, 1]",0.625,9.0,4.0
14,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.4375,,
14,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[0, 4], [2, 2]]","[2, 6]",0.25,9.0,4.0
14,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.5,,
14,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.625,9.0,4.0
14,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.25,,
14,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[3, 1], [4, 0]]","[7, 1]",0.375,9.0,4.0
14,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.25,0.25,"[[2, 2], [4, 0]]","[6, 2]",0.375,,
14,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.1875,9.0,4.0
14,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.5625,,
14,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.6875,9.0,4.0
15,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.125,0.125,"[[1, 3], [4, 0]]","[5, 3]",0.0625,,
15,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.8125,9.0,4.0
15,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.125,0.125,"[[0, 4], [3, 1]]","[3, 5]",0.0625,,
15,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.5,9.0,4.0
15,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.625,,
15,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[0, 4], [1, 3]]","[1, 7]",0.1875,9.0,4.0
15,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.625,,
15,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.625,9.0,4.0
15,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.5625,,
15,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.125,0.125,"[[1, 3], [4, 0]]","[5, 3]",0.1875,9.0,4.0
16,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",0.25,,
16,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.4375,9.0,4.0
16,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.625,,
16,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.4375,9.0,4.0
16,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.375,,
16,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.75,9.0,4.0
16,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.375,,
16,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.5,9.0,4.0
16,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.4375,,
16,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[4, 0], [3, 1]]","[7, 1]",0.4375,9.0,4.0
17,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.3125,,
17,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.3125,9.0,4.0
17,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,1.0,1.0,"[[4, 0], [0, 4]]","[4, 4]",1.0,,
17,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.8125,9.0,4.0
17,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.5625,,
17,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",0.8125,9.0,4.0
17,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[4, 0], [2, 2]]","[6, 2]",0.75,,
17,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.3125,9.0,4.0
17,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.5,,
17,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[2, 2], [0, 4]]","[2, 6]",0.8125,9.0,4.0
