model_name,subject_id,mean_accuracy,std_accuracy,mean_balanced_accuracy,mean_roc_auc,n_folds
FBCSP_LDA,24,0.45,0.16770509831248423,0.45,0.425,5
FBCSP_LDA,25,0.375,0.08838834764831845,0.375,0.35,5
FBCSP_LDA,26,0.5,0.21650635094610965,0.5,0.5875,5
FBCSP_LDA,27,0.525,0.10458250331675945,0.525,0.475,5
FBCSP_LDA,28,0.725,0.10458250331675945,0.725,0.8375,5
FBCSP_LDA,29,0.525,0.16298006013006622,0.525,0.5375,5
FBCSP_LDA,3,0.525,0.18540496217739158,0.525,0.5875,5
FBCSP_LDA,30,0.7,0.14252192813739226,0.7,0.7375,5
FBCSP_LDA,31,0.425,0.11180339887498948,0.425,0.375,5
FBCSP_LDA,32,0.575,0.14252192813739226,0.575,0.4625,5
FBCSP_LDA,33,0.55,0.14252192813739226,0.55,0.4375,5
FBCSP_LDA,34,0.525,0.2850438562747845,0.525,0.4875,5
FBCSP_LDA,35,0.55,0.14252192813739223,0.55,0.45,5
FBCSP_LDA,36,0.475,0.10458250331675945,0.475,0.5125,5
FBCSP_LDA,37,0.725,0.13693063937629152,0.725,0.775,5
FBCSP_LDA,38,0.525,0.10458250331675943,0.525,0.475,5
FBCSP_LDA,39,0.55,0.22707377655731187,0.55,0.475,5
FBCSP_LDA,4,0.375,0.125,0.375,0.4125,5
FBCSP_LDA,40,0.575,0.2091650066335189,0.575,0.675,5
FBCSP_LDA,41,0.35,0.22360679774997896,0.35,0.3875,5
FBCSP_LDA,42,0.5,0.08838834764831845,0.5,0.4625,5
FBCSP_LDA,43,0.45,0.11180339887498948,0.45,0.5125,5
FBCSP_LDA,44,0.725,0.10458250331675945,0.725,0.825,5
FBCSP_LDA,45,0.725,0.13693063937629155,0.725,0.8375,5
FBCSP_LDA,46,0.525,0.22360679774997896,0.525,0.575,5
FBCSP_LDA,47,0.375,0.15309310892394862,0.375,0.375,5
FBCSP_LDA,48,0.475,0.16298006013006622,0.475,0.4,5
FBCSP_LDA,49,0.55,0.18957188610128875,0.55,0.475,5
FBCSP_LDA,5,0.575,0.06846531968814575,0.575,0.5125,5
FBCSP_LDA,50,0.45,0.2091650066335189,0.45,0.4125,5
FBCSP_LDA,6,0.5,0.15309310892394862,0.5,0.4625,5
FBCSP_LDA,7,0.55,0.16770509831248423,0.55,0.575,5
FBCSP_LDA,8,0.4,0.10458250331675945,0.4,0.4625,5
FBCSP_LDA,9,0.45,0.16770509831248423,0.45,0.4375,5
