dataset_name,subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
Liu2024_SourceMAT,1,4,26,Oz,0.08484912,-0.0254647,0.09469868,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,27,O1,0.04710317,0.03115025,0.05354119,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,4,28,O2,0.11389108,0.00639038,0.12442095,0.375,0.375,"[5, 3]",0.625,False,0.00538495,0.00050001,0.00460815,True
Liu2024_SourceMAT,1,5,0,Fp1,0.11003008,0.11003008,0.12080318,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,1,Fp2,0.09673902,-0.07286245,0.10338689,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,2,Fz,0.07456978,0.0656734,0.09478149,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,3,F3,0.04702633,-0.02386138,0.0527461,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,4,F4,0.04580651,0.04103006,0.05989976,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,5,F7,0.08428997,0.02723879,0.0923731,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,6,F8,0.09830495,0.02824006,0.10750341,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,7,FCz,0.11643048,0.07329225,0.12661804,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,8,FC3,0.12253546,0.01871997,0.12426699,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,9,FC4,0.16200644,0.00114924,0.16280696,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,10,FT7,0.11983895,0.0428455,0.12875329,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,11,FT8,0.09399921,-0.02742867,0.09803387,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,12,Cz,0.08253139,0.02799949,0.08959567,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,13,C3,0.11683823,0.08937936,0.12601154,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,14,C4,0.09171692,-0.00206053,0.11234877,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,15,T7,0.11239347,0.09072742,0.12157601,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,16,T8,0.06993384,-0.00858867,0.07906161,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,17,CP3,0.07547218,-0.0697784,0.09090818,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,18,CP4,0.11993612,0.06110033,0.13834298,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,19,TP7,0.09161244,-0.00836467,0.09911095,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,20,TP8,0.107588,-0.02229244,0.1158951,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
Liu2024_SourceMAT,1,5,21,Pz,0.13248073,0.0448378,0.14524372,0.5,0.5,"[6, 2]",0.75,False,0.08021825,0.01200234,0.06864642,True
