method_name,subject_id,mean_accuracy,std_accuracy,mean_balanced_accuracy,mean_roc_auc,n_folds,mean_accuracy_percent
FBCSP_SVM,20,0.775,0.16298006013006622,0.775,0.8625,5,77.5
FBCSP_SVM,21,0.5,0.19764235376052372,0.5,0.5625,5,50.0
FBCSP_SVM,22,0.625,0.125,0.625,0.675,5,62.5
FBCSP_SVM,23,0.7,0.18957188610128878,0.7,0.8,5,70.0
FBCSP_SVM,24,0.575,0.14252192813739226,0.575,0.45,5,57.49999999999999
FBCSP_SVM,25,0.55,0.14252192813739226,0.55,0.5625,5,55.00000000000001
FBCSP_SVM,26,0.4,0.10458250331675945,0.4,0.4,5,40.0
FBCSP_SVM,27,0.375,0.08838834764831845,0.375,0.275,5,37.5
FBCSP_SVM,28,0.8,0.14252192813739228,0.8,0.95,5,80.0
FBCSP_SVM,29,0.475,0.16298006013006622,0.475,0.5,5,47.5
FBCSP_SVM,3,0.475,0.10458250331675945,0.475,0.4625,5,47.5
FBCSP_SVM,30,0.8,0.11180339887498947,0.8,0.7875,5,80.0
FBCSP_SVM,31,0.6,0.16298006013006622,0.6,0.65,5,60.0
FBCSP_SVM,32,0.425,0.24366985862022408,0.425,0.3875,5,42.5
FBCSP_SVM,33,0.575,0.14252192813739223,0.575,0.55,5,57.49999999999999
FBCSP_SVM,34,0.55,0.14252192813739223,0.55,0.5375,5,55.00000000000001
FBCSP_SVM,35,0.375,0.15309310892394862,0.375,0.325,5,37.5
FBCSP_SVM,36,0.475,0.22360679774997896,0.475,0.4625,5,47.5
FBCSP_SVM,37,0.775,0.10458250331675946,0.775,0.8125,5,77.5
FBCSP_SVM,38,0.475,0.20539595906443728,0.475,0.475,5,47.5
FBCSP_SVM,39,0.6,0.13693063937629155,0.6,0.575,5,60.0
FBCSP_SVM,4,0.475,0.13693063937629155,0.475,0.3625,5,47.5
FBCSP_SVM,40,0.675,0.1895718861012888,0.675,0.7375,5,67.5
FBCSP_SVM,41,0.425,0.16770509831248423,0.425,0.3,5,42.5
FBCSP_SVM,42,0.375,0.08838834764831845,0.375,0.275,5,37.5
FBCSP_SVM,43,0.475,0.16298006013006622,0.475,0.5125,5,47.5
FBCSP_SVM,44,0.6,0.16298006013006622,0.6,0.6,5,60.0
FBCSP_SVM,45,0.725,0.16298006013006622,0.725,0.8125,5,72.5
FBCSP_SVM,46,0.4,0.16298006013006622,0.4,0.275,5,40.0
FBCSP_SVM,47,0.5,0.125,0.5,0.5375,5,50.0
FBCSP_SVM,48,0.525,0.10458250331675943,0.525,0.3625,5,52.5
FBCSP_SVM,49,0.45,0.06846531968814576,0.45,0.4625,5,45.0
FBCSP_SVM,5,0.55,0.18957188610128875,0.55,0.4875,5,55.00000000000001
FBCSP_SVM,50,0.525,0.1854049621773916,0.525,0.475,5,52.5
FBCSP_SVM,6,0.6,0.16298006013006622,0.6,0.55,5,60.0
FBCSP_SVM,7,0.675,0.18957188610128875,0.675,0.75,5,67.5
FBCSP_SVM,8,0.4,0.18540496217739155,0.4,0.275,5,40.0
FBCSP_SVM,9,0.425,0.2091650066335189,0.425,0.3375,5,42.5
