subject_id,fold_id,method,accuracy,balanced_accuracy,outer_test_used_for_center,outer_test_used_for_fit,outer_test_used_for_selection
sub-25,3,pooled_unaligned,0.75,0.75,False,False,False
sub-25,3,riemannian_recentered,0.625,0.625,False,False,False
sub-25,4,target_only,0.375,0.375,False,False,False
sub-25,4,pooled_unaligned,0.5,0.5,False,False,False
sub-25,4,riemannian_recentered,0.625,0.625,False,False,False
sub-26,0,target_only,0.375,0.375,False,False,False
sub-26,0,pooled_unaligned,0.75,0.75,False,False,False
sub-26,0,riemannian_recentered,0.5,0.5,False,False,False
sub-26,1,target_only,0.625,0.625,False,False,False
sub-26,1,pooled_unaligned,0.5,0.5,False,False,False
sub-26,1,riemannian_recentered,0.5,0.5,False,False,False
sub-26,2,target_only,0.75,0.75,False,False,False
sub-26,2,pooled_unaligned,0.625,0.625,False,False,False
sub-26,2,riemannian_recentered,0.75,0.75,False,False,False
sub-26,3,target_only,0.625,0.625,False,False,False
sub-26,3,pooled_unaligned,0.625,0.625,False,False,False
sub-26,3,riemannian_recentered,0.75,0.75,False,False,False
sub-26,4,target_only,0.5,0.5,False,False,False
sub-26,4,pooled_unaligned,0.375,0.375,False,False,False
sub-26,4,riemannian_recentered,0.375,0.375,False,False,False
sub-27,0,target_only,0.5,0.5,False,False,False
sub-27,0,pooled_unaligned,0.125,0.125,False,False,False
sub-27,0,riemannian_recentered,0.375,0.375,False,False,False
sub-27,1,target_only,0.75,0.75,False,False,False
sub-27,1,pooled_unaligned,0.5,0.5,False,False,False
sub-27,1,riemannian_recentered,0.5,0.5,False,False,False
sub-27,2,target_only,0.375,0.375,False,False,False
sub-27,2,pooled_unaligned,0.5,0.5,False,False,False
sub-27,2,riemannian_recentered,0.625,0.625,False,False,False
sub-27,3,target_only,0.25,0.25,False,False,False
sub-27,3,pooled_unaligned,0.5,0.5,False,False,False
sub-27,3,riemannian_recentered,0.625,0.625,False,False,False
sub-27,4,target_only,0.375,0.375,False,False,False
sub-27,4,pooled_unaligned,0.375,0.375,False,False,False
sub-27,4,riemannian_recentered,0.375,0.375,False,False,False
sub-28,0,target_only,0.875,0.875,False,False,False
sub-28,0,pooled_unaligned,0.5,0.5,False,False,False
sub-28,0,riemannian_recentered,0.625,0.625,False,False,False
sub-28,1,target_only,0.75,0.75,False,False,False
sub-28,1,pooled_unaligned,0.5,0.5,False,False,False
sub-28,1,riemannian_recentered,0.375,0.375,False,False,False
sub-28,2,target_only,0.875,0.875,False,False,False
sub-28,2,pooled_unaligned,0.5,0.5,False,False,False
sub-28,2,riemannian_recentered,0.5,0.5,False,False,False
sub-28,3,target_only,0.875,0.875,False,False,False
sub-28,3,pooled_unaligned,0.5,0.5,False,False,False
sub-28,3,riemannian_recentered,0.75,0.75,False,False,False
sub-28,4,target_only,1.0,1.0,False,False,False
sub-28,4,pooled_unaligned,0.75,0.75,False,False,False
sub-28,4,riemannian_recentered,0.75,0.75,False,False,False
sub-29,0,target_only,0.5,0.5,False,False,False
sub-29,0,pooled_unaligned,0.5,0.5,False,False,False
sub-29,0,riemannian_recentered,0.75,0.75,False,False,False
sub-29,1,target_only,0.625,0.625,False,False,False
sub-29,1,pooled_unaligned,0.5,0.5,False,False,False
sub-29,1,riemannian_recentered,0.375,0.375,False,False,False
sub-29,2,target_only,0.75,0.75,False,False,False
sub-29,2,pooled_unaligned,0.75,0.75,False,False,False
sub-29,2,riemannian_recentered,0.5,0.5,False,False,False
sub-29,3,target_only,0.75,0.75,False,False,False
sub-29,3,pooled_unaligned,0.625,0.625,False,False,False
sub-29,3,riemannian_recentered,0.75,0.75,False,False,False
sub-29,4,target_only,0.5,0.5,False,False,False
sub-29,4,pooled_unaligned,0.75,0.75,False,False,False
sub-29,4,riemannian_recentered,0.75,0.75,False,False,False
sub-30,0,target_only,0.25,0.25,False,False,False
sub-30,0,pooled_unaligned,0.5,0.5,False,False,False
sub-30,0,riemannian_recentered,0.25,0.25,False,False,False
sub-30,1,target_only,0.5,0.5,False,False,False
sub-30,1,pooled_unaligned,0.5,0.5,False,False,False
sub-30,1,riemannian_recentered,0.625,0.625,False,False,False
sub-30,2,target_only,0.375,0.375,False,False,False
sub-30,2,pooled_unaligned,0.5,0.5,False,False,False
sub-30,2,riemannian_recentered,0.625,0.625,False,False,False
