target,branch,strategy,K,rep,balanced_accuracy
7,sjepa,transfer_plus_cal,0,9,0.475
7,sjepa,within_only,4,0,0.6111111111111112
7,sjepa,transfer_only,4,0,0.4722222222222222
7,sjepa,transfer_plus_cal,4,0,0.4722222222222222
7,sjepa,within_only,4,1,0.5833333333333334
7,sjepa,transfer_only,4,1,0.4722222222222222
7,sjepa,transfer_plus_cal,4,1,0.5
7,sjepa,within_only,4,2,0.5555555555555556
7,sjepa,transfer_only,4,2,0.4722222222222222
7,sjepa,transfer_plus_cal,4,2,0.5
7,sjepa,within_only,4,3,0.6666666666666667
7,sjepa,transfer_only,4,3,0.5
7,sjepa,transfer_plus_cal,4,3,0.5277777777777778
7,sjepa,within_only,4,4,0.5
7,sjepa,transfer_only,4,4,0.4722222222222222
7,sjepa,transfer_plus_cal,4,4,0.5
7,sjepa,within_only,4,5,0.5833333333333334
7,sjepa,transfer_only,4,5,0.4444444444444444
7,sjepa,transfer_plus_cal,4,5,0.4444444444444444
7,sjepa,within_only,4,6,0.6388888888888888
7,sjepa,transfer_only,4,6,0.4722222222222222
7,sjepa,transfer_plus_cal,4,6,0.4722222222222222
7,sjepa,within_only,4,7,0.5277777777777778
7,sjepa,transfer_only,4,7,0.4722222222222222
7,sjepa,transfer_plus_cal,4,7,0.4722222222222222
7,sjepa,within_only,4,8,0.5555555555555556
7,sjepa,transfer_only,4,8,0.5
7,sjepa,transfer_plus_cal,4,8,0.5
7,sjepa,within_only,4,9,0.5555555555555556
7,sjepa,transfer_only,4,9,0.4444444444444444
7,sjepa,transfer_plus_cal,4,9,0.4722222222222222
7,sjepa,within_only,8,0,0.53125
7,sjepa,transfer_only,8,0,0.46875
7,sjepa,transfer_plus_cal,8,0,0.5
7,sjepa,within_only,8,1,0.5
7,sjepa,transfer_only,8,1,0.40625
7,sjepa,transfer_plus_cal,8,1,0.40625
7,sjepa,within_only,8,2,0.625
7,sjepa,transfer_only,8,2,0.5625
7,sjepa,transfer_plus_cal,8,2,0.53125
7,sjepa,within_only,8,3,0.53125
7,sjepa,transfer_only,8,3,0.46875
7,sjepa,transfer_plus_cal,8,3,0.46875
7,sjepa,within_only,8,4,0.5625
7,sjepa,transfer_only,8,4,0.46875
7,sjepa,transfer_plus_cal,8,4,0.5
7,sjepa,within_only,8,5,0.5625
7,sjepa,transfer_only,8,5,0.40625
7,sjepa,transfer_plus_cal,8,5,0.40625
7,sjepa,within_only,8,6,0.46875
7,sjepa,transfer_only,8,6,0.4375
7,sjepa,transfer_plus_cal,8,6,0.4375
7,sjepa,within_only,8,7,0.5625
7,sjepa,transfer_only,8,7,0.53125
7,sjepa,transfer_plus_cal,8,7,0.53125
7,sjepa,within_only,8,8,0.40625
7,sjepa,transfer_only,8,8,0.53125
7,sjepa,transfer_plus_cal,8,8,0.53125
7,sjepa,within_only,8,9,0.59375
7,sjepa,transfer_only,8,9,0.5
7,sjepa,transfer_plus_cal,8,9,0.5
7,sjepa,within_only,12,0,0.4642857142857143
7,sjepa,transfer_only,12,0,0.5357142857142857
7,sjepa,transfer_plus_cal,12,0,0.5357142857142857
7,sjepa,within_only,12,1,0.6071428571428571
7,sjepa,transfer_only,12,1,0.4642857142857143
7,sjepa,transfer_plus_cal,12,1,0.5
7,sjepa,within_only,12,2,0.75
7,sjepa,transfer_only,12,2,0.4642857142857143
7,sjepa,transfer_plus_cal,12,2,0.4642857142857143
7,sjepa,within_only,12,3,0.5714285714285714
7,sjepa,transfer_only,12,3,0.39285714285714285
7,sjepa,transfer_plus_cal,12,3,0.4285714285714286
7,sjepa,within_only,12,4,0.5
7,sjepa,transfer_only,12,4,0.5
7,sjepa,transfer_plus_cal,12,4,0.5
7,sjepa,within_only,12,5,0.5714285714285714
7,sjepa,transfer_only,12,5,0.5357142857142857
7,sjepa,transfer_plus_cal,12,5,0.5714285714285714
7,sjepa,within_only,12,6,0.6785714285714286
7,sjepa,transfer_only,12,6,0.4642857142857143
7,sjepa,transfer_plus_cal,12,6,0.4642857142857143
7,sjepa,within_only,12,7,0.3214285714285714
7,sjepa,transfer_only,12,7,0.4642857142857143
7,sjepa,transfer_plus_cal,12,7,0.4642857142857143
7,sjepa,within_only,12,8,0.6428571428571429
7,sjepa,transfer_only,12,8,0.5
7,sjepa,transfer_plus_cal,12,8,0.5
7,sjepa,within_only,12,9,0.6785714285714286
7,sjepa,transfer_only,12,9,0.5
7,sjepa,transfer_plus_cal,12,9,0.5
7,sjepa,within_only,16,0,0.625
7,sjepa,transfer_only,16,0,0.4166666666666667
7,sjepa,transfer_plus_cal,16,0,0.45833333333333337
7,sjepa,within_only,16,1,0.5833333333333333
7,sjepa,transfer_only,16,1,0.4166666666666667
7,sjepa,transfer_plus_cal,16,1,0.4166666666666667
7,sjepa,within_only,16,2,0.625
7,sjepa,transfer_only,16,2,0.41666666666666663
7,sjepa,transfer_plus_cal,16,2,0.45833333333333337
7,sjepa,within_only,16,3,0.5833333333333333
7,sjepa,transfer_only,16,3,0.33333333333333337
7,sjepa,transfer_plus_cal,16,3,0.375
7,sjepa,within_only,16,4,0.625
7,sjepa,transfer_only,16,4,0.5
7,sjepa,transfer_plus_cal,16,4,0.5
7,sjepa,within_only,16,5,0.625
7,sjepa,transfer_only,16,5,0.375
7,sjepa,transfer_plus_cal,16,5,0.375
7,sjepa,within_only,16,6,0.5833333333333334
7,sjepa,transfer_only,16,6,0.5416666666666666
7,sjepa,transfer_plus_cal,16,6,0.5416666666666666
7,sjepa,within_only,16,7,0.5416666666666666
7,sjepa,transfer_only,16,7,0.5416666666666666
7,sjepa,transfer_plus_cal,16,7,0.5416666666666666
7,sjepa,within_only,16,8,0.5
7,sjepa,transfer_only,16,8,0.5
7,sjepa,transfer_plus_cal,16,8,0.5
7,sjepa,within_only,16,9,0.5
7,sjepa,transfer_only,16,9,0.5
7,sjepa,transfer_plus_cal,16,9,0.5
7,sjepa,within_only,24,0,0.625
7,sjepa,transfer_only,24,0,0.5625
7,sjepa,transfer_plus_cal,24,0,0.5625
7,sjepa,within_only,24,1,0.75
7,sjepa,transfer_only,24,1,0.5625
7,sjepa,transfer_plus_cal,24,1,0.5625
7,sjepa,within_only,24,2,0.5
7,sjepa,transfer_only,24,2,0.5625
7,sjepa,transfer_plus_cal,24,2,0.5625
7,sjepa,within_only,24,3,0.5
7,sjepa,transfer_only,24,3,0.4375
7,sjepa,transfer_plus_cal,24,3,0.4375
7,sjepa,within_only,24,4,0.8125
7,sjepa,transfer_only,24,4,0.4375
7,sjepa,transfer_plus_cal,24,4,0.5
7,sjepa,within_only,24,5,0.625
7,sjepa,transfer_only,24,5,0.5
7,sjepa,transfer_plus_cal,24,5,0.5
7,sjepa,within_only,24,6,0.6875
7,sjepa,transfer_only,24,6,0.375
7,sjepa,transfer_plus_cal,24,6,0.375
7,sjepa,within_only,24,7,0.625
7,sjepa,transfer_only,24,7,0.375
7,sjepa,transfer_plus_cal,24,7,0.4375
7,sjepa,within_only,24,8,0.375
7,sjepa,transfer_only,24,8,0.5625
7,sjepa,transfer_plus_cal,24,8,0.5
7,sjepa,within_only,24,9,0.75
7,sjepa,transfer_only,24,9,0.5625
7,sjepa,transfer_plus_cal,24,9,0.5625
7,fusion,transfer_only,0,0,0.55
7,fusion,transfer_plus_cal,0,0,0.55
7,fusion,transfer_only,0,1,0.55
7,fusion,transfer_plus_cal,0,1,0.55
7,fusion,transfer_only,0,2,0.55
7,fusion,transfer_plus_cal,0,2,0.55
7,fusion,transfer_only,0,3,0.55
7,fusion,transfer_plus_cal,0,3,0.55
7,fusion,transfer_only,0,4,0.55
7,fusion,transfer_plus_cal,0,4,0.55
7,fusion,transfer_only,0,5,0.55
7,fusion,transfer_plus_cal,0,5,0.55
7,fusion,transfer_only,0,6,0.55
7,fusion,transfer_plus_cal,0,6,0.55
7,fusion,transfer_only,0,7,0.55
7,fusion,transfer_plus_cal,0,7,0.55
7,fusion,transfer_only,0,8,0.55
7,fusion,transfer_plus_cal,0,8,0.55
7,fusion,transfer_only,0,9,0.55
7,fusion,transfer_plus_cal,0,9,0.55
7,fusion,within_only,4,0,0.6666666666666666
7,fusion,transfer_only,4,0,0.5
7,fusion,transfer_plus_cal,4,0,0.5
7,fusion,within_only,4,1,0.6111111111111112
7,fusion,transfer_only,4,1,0.5555555555555556
7,fusion,transfer_plus_cal,4,1,0.5833333333333334
7,fusion,within_only,4,2,0.6666666666666667
7,fusion,transfer_only,4,2,0.5833333333333334
7,fusion,transfer_plus_cal,4,2,0.5277777777777778
7,fusion,within_only,4,3,0.6111111111111112
7,fusion,transfer_only,4,3,0.5833333333333334
7,fusion,transfer_plus_cal,4,3,0.5555555555555556
7,fusion,within_only,4,4,0.5555555555555556
7,fusion,transfer_only,4,4,0.5555555555555556
7,fusion,transfer_plus_cal,4,4,0.5833333333333334
7,fusion,within_only,4,5,0.7777777777777778
7,fusion,transfer_only,4,5,0.5555555555555556
7,fusion,transfer_plus_cal,4,5,0.5555555555555556
7,fusion,within_only,4,6,0.5555555555555556
7,fusion,transfer_only,4,6,0.5277777777777778
7,fusion,transfer_plus_cal,4,6,0.4722222222222222
7,fusion,within_only,4,7,0.6388888888888888
7,fusion,transfer_only,4,7,0.5555555555555556
7,fusion,transfer_plus_cal,4,7,0.5555555555555556
7,fusion,within_only,4,8,0.5833333333333333
7,fusion,transfer_only,4,8,0.5277777777777778
7,fusion,transfer_plus_cal,4,8,0.5
7,fusion,within_only,4,9,0.6388888888888888
7,fusion,transfer_only,4,9,0.5555555555555556
