subject_id,locked_shallow_ba,locked_shallow_collapse_rate,locked_prelocal_ba,physiology_mean_abs_g,riemann_ba,riemann_auc,margin_hedges_g_x,margin_rank_biserial_x,riemann_separation,mean_foldlocal_distance_contrast,microstate_mean_abs_difference,sjepa_ba,sjepa_auc,margin_hedges_g_y,margin_rank_biserial_y,linear_mmd_sq,sjepa_separation,linear_mmd_permutation_p,flagged_sub15_sensitivity
14,0.425,0.0,0.475,0.21759997301868006,0.30000000000000004,0.2575,-0.7684159414559676,-0.485,9.696464191123393,-0.22398181011060467,0.12972921202466384,0.45,0.43500000000000005,-0.29208869995330594,-0.13,0.00013876092270947993,0.011779682710766792,0.335832083958021,False
15,0.45,0.0,0.45,0.2781301990318245,0.475,0.4425,-0.2746678943379308,-0.11499999999999999,4.466314587091799,-0.036926937483226084,0.055612936164519455,0.42500000000000004,0.4325,-0.1611440102624981,-0.135,7.207810995168984e-05,0.008489882573485374,0.5592203898050975,True
16,0.6000000000000001,0.0,,0.21604565690149252,0.325,0.26249999999999996,-0.2530947751196644,-0.475,5.498726616391763,-0.22848592354640246,0.08327348208163134,0.5,0.5675000000000001,0.2728090836291732,0.135,8.997699478641152e-05,0.009485621005296707,0.7156421789105447,False
17,0.45,0.0,0.55,0.260033300978369,0.525,0.485,-0.12892089384187283,-0.030000000000000027,2.184661978666877,0.043257508121899234,0.06809303184852758,0.575,0.6125,0.29537037183393067,0.2250000000000001,0.00016884671640582383,0.012994103133678436,0.15342328835582209,False
18,0.65,0.0,,0.2455084111704238,0.45,0.46749999999999997,-0.05116127117380643,-0.06499999999999995,0.7347447350894705,-0.04133886867796499,0.07505890774883596,0.675,0.7825000000000001,1.061261746316485,0.565,0.00013115332694724202,0.01145221944898367,0.23488255872063968,False
19,0.475,0.2,,0.36212382826220524,0.525,0.4925,-0.037844452968681074,-0.015000000000000013,0.513748283984858,0.001721848411173932,0.09278176187999654,0.4,0.3825,-0.3219149177269785,-0.235,6.935268174856901e-05,0.008327825926244259,0.9490254872563718,False
20,0.8,0.0,,0.47670550268761275,0.85,0.84,1.3334193980601776,0.6799999999999999,27.86727300191215,1.0227785637048428,0.2216301353039952,0.55,0.655,0.6554020225674182,0.31000000000000005,0.0001301094307564199,0.0114065520465374,0.5007496251874063,False
21,0.525,0.0,,0.18531422920612362,0.575,0.5675,0.3005796174343986,0.135,4.0774760339435385,-0.2587252351001345,0.07847744700982534,0.65,0.66,0.44926214742803233,0.32000000000000006,0.00037155149038881063,0.019275670871138573,0.027486256871564217,False
22,0.7,0.0,,0.31593302771555387,0.675,0.7224999999999999,0.7905425655578449,0.44500000000000006,14.293148771048598,0.43194927101649033,0.1437585080371913,0.675,0.6525000000000001,0.6470433426360471,0.30499999999999994,0.00021417852258309722,0.01463483925908804,0.09095452273863068,False
23,0.725,0.0,,0.38831493486122115,0.85,0.9025,1.6602810096361358,0.8049999999999999,44.92901260740908,1.302286932676472,0.06424407953944845,0.525,0.5149999999999999,0.021639320252229574,0.030000000000000027,9.856581164058298e-05,0.009928031824529171,0.8035982008995503,False
24,0.6000000000000001,0.0,,0.3037058078095057,0.575,0.6649999999999999,0.616668486012584,0.33000000000000007,8.822246389465352,0.20372067719765358,0.09432666206469514,0.5249999999999999,0.47,0.031207228082744964,-0.06000000000000005,0.00021414872026070952,0.014633821323513985,0.3103448275862069,False
25,0.675,0.0,,0.24019972715828525,0.55,0.575,0.2860199996108286,0.1499999999999999,5.398097580692735,0.2526795199703165,0.2760617121605961,0.375,0.46,0.031291846070713565,-0.07999999999999996,0.0002150385407730937,0.014664193615317345,0.37231384307846077,False
26,0.525,0.0,,0.24637568604592508,0.6000000000000001,0.515,0.0055243186589095895,0.030000000000000027,0.07929970778904005,0.1996755175193826,0.04434375394327758,0.425,0.4774999999999999,-0.0677866628311191,-0.04500000000000004,0.00011858069046866149,0.010889476165175438,0.3808095952023988,False
27,0.6499999999999999,0.0,,0.2386793705152312,0.425,0.405,-0.27872638135674016,-0.18999999999999995,3.5644603639413512,-0.02323358813342482,0.11302204469704209,0.575,0.5574999999999999,0.040457669867022275,0.11499999999999999,8.831363811623305e-05,0.009397533722221851,0.7496251874062968,False
28,0.525,0.0,,0.2971211433918757,0.775,0.8725,1.6008965057074982,0.7450000000000001,28.014295611811647,0.7012311603635678,0.0748273746743808,0.65,0.7825,1.0704882060067578,0.565,0.0002507643948774785,0.015835542231798172,0.03948025987006497,False
29,0.4,0.0,0.45,0.27596447681646674,0.55,0.6275,0.51029079977779,0.2549999999999999,7.70703475967015,0.17502267470642333,0.09873094879865986,0.375,0.2875,-0.7116153431887049,-0.42500000000000004,6.098040830693208e-05,0.007808994967490435,0.9500249875062469,False
30,0.65,0.0,,0.315909485534242,0.625,0.5925,0.06523575736547195,0.18500000000000005,1.1637229839267784,0.019816880459427155,0.10683046417605092,0.575,0.5800000000000001,0.29377528038622314,0.15999999999999992,0.00022910172992851585,0.015136106871068478,0.01899050474762619,False
31,0.5,0.0,0.525,0.42870403125173606,0.475,0.41,-0.326510101903605,-0.18000000000000005,4.985907808944423,-0.06140160014458127,0.04888219647174142,0.525,0.5225,-0.009187501622312551,0.04499999999999993,0.00018445731257088482,0.013581505976617336,0.2543728135932034,False
32,0.475,0.0,0.55,0.1929477300524119,0.3,0.3025,-0.6481741221389997,-0.395,8.300467835724454,-0.22157079446721267,0.061664694077577575,0.475,0.4625,-0.14037534531378482,-0.07499999999999996,0.0001412676356267184,0.011885606683790684,0.7331334332833583,False
33,0.55,0.2,,0.3068086440675983,0.525,0.55,0.09381190817139334,0.10000000000000009,1.309780105949592,-0.19927154736904681,0.2021325514209257,0.55,0.4975,-0.03593927663093472,-0.0050000000000000044,0.0001267018960788846,0.011256193742156029,0.5947026486756621,False
34,0.6,0.2,,0.11747037174395744,0.35,0.3125,-0.6611534439298677,-0.375,9.368266605246472,-0.2850955599109792,0.23812626268552192,0.55,0.6225,0.4341195051996915,0.2450000000000001,0.000571935554035008,0.02391517348587513,0.0009995002498750624,False
35,0.5,0.0,,0.16641258110021873,0.475,0.38,-0.376045709774421,-0.24,4.153371092626334,-0.23495407976726343,0.0826784433993945,0.47500000000000003,0.5525,0.10095240129181925,0.10499999999999998,0.00010107523121405393,0.010053617879748344,0.6451774112943528,False
36,0.5,0.0,,0.2239354814923039,0.475,0.52,0.18619767843563195,0.040000000000000036,2.530070674715677,-0.04960181040086353,0.07243523791008759,0.55,0.5974999999999999,0.24789010246972973,0.19500000000000006,0.00016987261187750846,0.013033519499003887,0.312343828085957,False
37,0.775,0.0,0.5,0.3958421028504332,0.7250000000000001,0.7725000000000001,0.9664583028874035,0.5449999999999999,18.374926436015173,0.32469367706164814,0.0806082830715829,0.55,0.5375,0.06754849166442242,0.07499999999999996,0.00018250782159157097,0.013509545475244522,0.5397301349325337,False
38,0.6,0.0,,0.30070166211384286,0.675,0.5675,0.258327366055711,0.135,5.4692371242704585,0.3271127206296102,0.11756357196822155,0.6499999999999999,0.6825,0.44681056640796935,0.365,0.00015603392967022955,0.012491353787481785,0.09945027486256872,False
39,0.7,0.0,,0.262457728709129,0.5,0.3875,-0.5262504179406143,-0.22499999999999998,6.5860961503843445,-0.15668426996844015,0.14443053347528043,0.525,0.66,0.5556645540502781,0.32000000000000006,0.0001167274167528376,0.01080404594540596,0.48375812093953025,False
40,0.725,0.0,,0.3395288300889648,0.75,0.745,0.8923197496291155,0.49,21.40734164469555,0.6736232526927969,0.10599805308176868,0.65,0.6225,0.3004313066383437,0.2450000000000001,0.00010767471394501626,0.01037664245814085,0.4657671164417791,False
41,0.525,0.0,0.55,0.20096771828645027,0.575,0.48000000000000004,-0.19055774595040303,-0.040000000000000036,2.6215978181056236,-0.057898018867042246,0.17779121440137882,0.525,0.5049999999999999,-0.027918088301393328,0.010000000000000009,0.00019098429766017944,0.013819706626236439,0.3663168415792104,False
42,0.675,0.0,,0.2558868104428924,0.575,0.6125,-0.15159848750876564,0.2250000000000001,4.136336456955141,-0.014440216185859578,0.1174299977252974,0.575,0.5875,0.31206465598076066,0.17500000000000004,0.00017629709327593446,0.013277691788971424,0.14342828585707146,False
43,0.25,0.0,,0.231458903934687,0.525,0.515,0.014457063298304691,0.030000000000000027,0.17165277080159425,-0.01648975265581787,0.13378571758731034,0.42500000000000004,0.3975,-0.42820614692674974,-0.20499999999999996,0.00014759933401364833,0.012149046175181866,0.7211394302848576,False
44,0.625,0.0,,0.22540133317999092,0.55,0.605,0.3959490327582235,0.20999999999999996,4.595235046426759,0.0865398031467541,0.17468118267343538,0.6000000000000001,0.5925,0.2660116234663919,0.18500000000000005,0.0001370086392853409,0.011705068871378899,0.5027486256871564,False
45,0.7749999999999999,0.0,,0.3844618203895304,0.65,0.68,0.4883432690505519,0.3600000000000001,9.137584703001504,-0.06223513727584358,0.07248170691562891,0.525,0.51,0.04367285409791909,0.020000000000000018,9.282834071200341e-05,0.009634746238589287,0.6926536731634183,False
46,0.475,0.0,,0.20289028722971414,0.725,0.7275,0.6959416525362031,0.45500000000000007,9.472422861702146,0.1415675326431145,0.08277683236342698,0.575,0.5449999999999999,0.04983513865161028,0.09000000000000008,0.00011245419591432437,0.010604442097246647,0.7891054472763618,False
47,0.5,0.0,,0.2740847620498988,0.575,0.6425000000000001,0.5455071370518362,0.2849999999999999,8.620400136539628,0.007831984684859617,0.04743727954151893,0.42500000000000004,0.41500000000000004,-0.3042319687121653,-0.17000000000000004,8.149644418153912e-05,0.009027537889778614,0.8730634682658671,False
48,0.55,0.0,,0.2183865086826372,0.35,0.24,-1.0107016221411527,-0.52,12.644266875686528,-0.45058232113780294,0.13366961270970731,0.575,0.595,0.2080968690626633,0.18999999999999995,0.00018863144214265049,0.01373431645333767,0.12443778110944528,False
49,0.675,0.0,,0.2600749417580022,0.475,0.4225,-0.26340614610023316,-0.15500000000000003,3.320806746245857,-0.12384600797403489,0.06510323429030675,0.3,0.1975,-1.160810850172285,-0.605,4.377056393423118e-05,0.006615932565182447,0.9710144927536232,False
50,0.375,0.0,,0.260698010085124,0.625,0.6725,0.6030081203443448,0.345,8.863834355259566,0.08002161514508979,0.043479580124843493,0.625,0.6749999999999999,0.6213925238150491,0.3500000000000001,0.00021180679323151708,0.014553583227097988,0.0704647676161919,False
