dataset_name,subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
Liu2024_SourceMAT,1,2,20,TP8,0.10964786,-0.02015711,0.11764941,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,21,Pz,0.13605303,0.04137481,0.14767651,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,22,P3,0.06832775,-0.04631139,0.07127963,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,23,P4,0.08149154,0.01140888,0.09317315,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,24,P7,0.11009364,0.02483143,0.12189844,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,25,P8,0.08124357,0.00094636,0.10094073,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,26,Oz,0.08397029,-0.02530911,0.09313444,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,27,O1,0.04914714,0.03272714,0.05523351,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,2,28,O2,0.11599882,0.00751411,0.12695974,0.5,0.5,"[6, 2]",0.75,False,0.03226707,0.00452084,0.0276124,True
Liu2024_SourceMAT,1,3,0,Fp1,0.11277825,0.11277825,0.12184832,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,1,Fp2,0.09111011,-0.06976287,0.09783311,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,2,Fz,0.07063857,0.06588843,0.09324656,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,3,F3,0.04044124,-0.02538139,0.04782427,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,4,F4,0.04303821,0.03401368,0.05623679,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,5,F7,0.08640431,0.0352399,0.09285066,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,6,F8,0.09877808,0.02326343,0.10897169,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,7,FCz,0.11692199,0.07092824,0.12361301,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,8,FC3,0.11533605,0.01773999,0.11691349,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,9,FC4,0.16489497,-0.00653425,0.16586319,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,10,FT7,0.12533854,0.04778173,0.13316251,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,11,FT8,0.09377782,-0.03297985,0.09978727,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,12,Cz,0.07603483,0.02445678,0.08342744,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,13,C3,0.12123118,0.09031399,0.13052736,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,14,C4,0.09687244,-0.00630201,0.11638068,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,15,T7,0.11337508,0.09375467,0.12396798,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,16,T8,0.07318494,-0.01503995,0.08098267,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
