subject,fold,window_start_s,sjepa_acc,sjepa_bacc,sjepa_collapse,riemann_acc,riemann_bacc,riemann_collapse,fusion_acc,fusion_bacc,fusion_collapse
19,3,0.0,0.3125,0.3125,False,0.4375,0.4375,False,0.4375,0.4375,False
19,4,0.0,0.5,0.5,False,0.6875,0.6875,False,0.6875,0.6875,False
19,5,2.0,0.375,0.375,False,0.5,0.5,False,0.5,0.5,False
19,6,0.0,0.4375,0.4375,False,0.75,0.75,False,0.6875,0.6875,False
19,7,0.0,0.4375,0.4375,False,0.625,0.625,False,0.625,0.625,False
19,8,0.0,0.375,0.375,False,0.3125,0.3125,False,0.4375,0.4375,False
19,9,0.0,0.25,0.25,False,0.5,0.5,False,0.5,0.5,False
20,0,2.0,0.625,0.625,False,0.625,0.625,False,0.625,0.625,False
20,1,1.0,0.8125,0.8125,False,0.75,0.75,False,0.75,0.75,False
20,2,0.0,0.75,0.75,False,0.6875,0.6875,False,0.625,0.625,False
20,3,1.0,0.5625,0.5625,False,0.6875,0.6875,False,0.6875,0.6875,False
20,4,1.0,0.625,0.625,False,0.6875,0.6875,False,0.75,0.75,False
20,5,1.0,0.6875,0.6875,False,0.75,0.75,False,0.75,0.75,False
20,6,0.0,0.75,0.75,False,0.8125,0.8125,False,0.8125,0.8125,False
20,7,0.0,0.625,0.625,False,0.8125,0.8125,False,0.8125,0.8125,False
20,8,1.0,0.6875,0.6875,False,0.75,0.75,False,0.75,0.75,False
20,9,1.0,0.625,0.625,False,0.8125,0.8125,False,0.8125,0.8125,False
21,0,1.0,0.5625,0.5625,False,0.4375,0.4375,False,0.4375,0.4375,False
21,1,2.0,0.4375,0.4375,False,0.375,0.375,False,0.375,0.375,False
21,2,1.0,0.4375,0.4375,False,0.375,0.375,False,0.375,0.375,False
21,3,0.0,0.4375,0.4375,False,0.5625,0.5625,False,0.5,0.5,False
21,4,0.0,0.3125,0.3125,False,0.1875,0.1875,False,0.25,0.25,False
21,5,1.0,0.5,0.5,False,0.5,0.5,False,0.4375,0.4375,False
21,6,2.0,0.375,0.375,False,0.375,0.375,False,0.375,0.375,False
21,7,0.0,0.4375,0.4375,False,0.4375,0.4375,False,0.375,0.375,False
21,8,2.0,0.375,0.375,False,0.5625,0.5625,False,0.5625,0.5625,False
21,9,1.0,0.5625,0.5625,False,0.4375,0.4375,False,0.4375,0.4375,False
22,0,0.0,0.625,0.625,False,0.625,0.625,False,0.625,0.625,False
22,1,0.0,0.5625,0.5625,False,0.6875,0.6875,False,0.75,0.75,False
22,2,0.0,0.3125,0.3125,False,0.5625,0.5625,False,0.625,0.625,False
22,3,0.0,0.5625,0.5625,False,0.5,0.5,False,0.5625,0.5625,False
22,4,0.0,0.6875,0.6875,False,0.75,0.75,False,0.6875,0.6875,False
22,5,0.0,0.4375,0.4375,False,0.75,0.75,False,0.6875,0.6875,False
22,6,1.0,0.625,0.625,False,0.3125,0.3125,False,0.3125,0.3125,False
22,7,0.0,0.625,0.625,False,0.5,0.5,False,0.5,0.5,False
22,8,0.0,0.4375,0.4375,False,0.75,0.75,False,0.75,0.75,False
22,9,0.0,0.5625,0.5625,False,0.6875,0.6875,False,0.625,0.625,False
23,0,1.0,0.6875,0.6875,False,0.6875,0.6875,False,0.6875,0.6875,False
23,1,1.0,0.5625,0.5625,False,0.6875,0.6875,False,0.6875,0.6875,False
23,2,1.0,0.6875,0.6875,False,0.8125,0.8125,False,0.8125,0.8125,False
23,3,2.0,0.5,0.5,False,0.6875,0.6875,False,0.6875,0.6875,False
23,4,1.0,0.6875,0.6875,False,0.6875,0.6875,False,0.6875,0.6875,False
23,5,1.0,0.75,0.75,False,0.8125,0.8125,False,0.8125,0.8125,False
23,6,1.0,0.625,0.625,False,0.6875,0.6875,False,0.6875,0.6875,False
23,7,1.0,0.5,0.5,False,0.8125,0.8125,False,0.8125,0.8125,False
23,8,1.0,0.75,0.75,False,0.8125,0.8125,False,0.8125,0.8125,False
23,9,1.0,0.4375,0.4375,False,0.8125,0.8125,False,0.8125,0.8125,False
24,0,0.0,0.375,0.375,False,0.75,0.75,False,0.8125,0.8125,False
24,1,0.0,0.625,0.625,False,0.5,0.5,False,0.5,0.5,False
24,2,1.0,0.4375,0.4375,False,0.5625,0.5625,False,0.5625,0.5625,False
24,3,2.0,0.4375,0.4375,False,0.625,0.625,False,0.625,0.625,False
24,4,0.0,0.5,0.5,False,0.625,0.625,False,0.625,0.625,False
24,5,2.0,0.4375,0.4375,False,0.3125,0.3125,False,0.3125,0.3125,False
24,6,0.0,0.5625,0.5625,False,0.625,0.625,False,0.625,0.625,False
24,7,0.0,0.375,0.375,False,0.5,0.5,False,0.375,0.375,False
24,8,2.0,0.5625,0.5625,False,0.4375,0.4375,False,0.4375,0.4375,False
24,9,0.0,0.5,0.5,False,0.3125,0.3125,False,0.3125,0.3125,False
25,0,1.0,0.5,0.5,False,0.5625,0.5625,False,0.5625,0.5625,False
25,1,2.0,0.5,0.5,False,0.625,0.625,False,0.625,0.625,False
25,2,1.0,0.5,0.5,False,0.5625,0.5625,False,0.5625,0.5625,False
25,3,0.0,0.6875,0.6875,False,0.4375,0.4375,False,0.4375,0.4375,False
25,4,2.0,0.625,0.625,False,0.625,0.625,False,0.5625,0.5625,False
25,5,2.0,0.375,0.375,False,0.5,0.5,False,0.5,0.5,False
25,6,0.0,0.625,0.625,False,0.5,0.5,False,0.4375,0.4375,False
25,7,1.0,0.5,0.5,False,0.6875,0.6875,False,0.6875,0.6875,False
25,8,1.0,0.625,0.625,False,0.5625,0.5625,False,0.5625,0.5625,False
25,9,0.0,0.5,0.5,False,0.625,0.625,False,0.5625,0.5625,False
26,0,2.0,0.4375,0.4375,False,0.5,0.5,False,0.5,0.5,False
26,1,2.0,0.3125,0.3125,False,0.5625,0.5625,False,0.5625,0.5625,False
26,2,2.0,0.5,0.5,False,0.625,0.625,False,0.5625,0.5625,False
26,3,2.0,0.4375,0.4375,False,0.6875,0.6875,False,0.6875,0.6875,False
26,4,1.0,0.5,0.5,False,0.5,0.5,False,0.5,0.5,False
26,5,2.0,0.5,0.5,False,0.375,0.375,False,0.4375,0.4375,False
26,6,1.0,0.3125,0.3125,False,0.625,0.625,False,0.5625,0.5625,False
26,7,2.0,0.25,0.25,False,0.4375,0.4375,False,0.4375,0.4375,False
26,8,0.0,0.375,0.375,False,0.3125,0.3125,False,0.3125,0.3125,False
26,9,2.0,0.375,0.375,False,0.625,0.625,False,0.6875,0.6875,False
27,0,0.0,0.375,0.375,False,0.4375,0.4375,False,0.4375,0.4375,False
27,1,1.0,0.375,0.375,False,0.6875,0.6875,False,0.625,0.625,False
27,2,0.0,0.5,0.5,False,0.625,0.625,False,0.5,0.5,False
27,3,2.0,0.375,0.375,False,0.375,0.375,False,0.375,0.375,False
27,4,1.0,0.375,0.375,False,0.5625,0.5625,False,0.5,0.5,False
27,5,2.0,0.1875,0.1875,False,0.5,0.5,False,0.5,0.5,False
27,6,2.0,0.5,0.5,False,0.3125,0.3125,False,0.3125,0.3125,False
27,7,1.0,0.375,0.375,False,0.5,0.5,False,0.5625,0.5625,False
27,8,0.0,0.375,0.375,False,0.5625,0.5625,False,0.5625,0.5625,False
27,9,2.0,0.3125,0.3125,False,0.5625,0.5625,False,0.5625,0.5625,False
28,0,0.0,0.5625,0.5625,False,0.5,0.5,False,0.5,0.5,False
28,1,1.0,0.375,0.375,False,0.4375,0.4375,False,0.375,0.375,False
28,2,1.0,0.5,0.5,False,0.375,0.375,False,0.375,0.375,False
28,3,1.0,0.25,0.25,False,0.5625,0.5625,False,0.625,0.625,False
28,4,0.0,0.5,0.5,False,0.375,0.375,False,0.375,0.375,False
28,5,0.0,0.4375,0.4375,False,0.4375,0.4375,False,0.4375,0.4375,False
28,6,0.0,0.4375,0.4375,False,0.4375,0.4375,False,0.5,0.5,False
28,7,2.0,0.5,0.5,False,0.625,0.625,False,0.625,0.625,False
28,8,0.0,0.5625,0.5625,False,0.3125,0.3125,False,0.3125,0.3125,False
28,9,2.0,0.5625,0.5625,False,0.5,0.5,False,0.5625,0.5625,False
29,0,2.0,0.4375,0.4375,False,0.75,0.75,False,0.6875,0.6875,False
29,1,1.0,0.5,0.5,False,0.375,0.375,False,0.3125,0.3125,False
29,2,2.0,0.625,0.625,False,0.625,0.625,False,0.625,0.625,False
29,3,1.0,0.625,0.625,False,0.5,0.5,False,0.5,0.5,False
29,4,2.0,0.5625,0.5625,False,0.5,0.5,False,0.5,0.5,False
29,5,2.0,0.6875,0.6875,False,0.5625,0.5625,False,0.5625,0.5625,False
