repeat,swap,subject_id,branch,train_separation,heldout_ba,train_indices,test_indices
0,0,14,sjepa,3.130199432373047,0.5,"[32, 38, 30, 22, 34, 2, 18, 28, 10, 0, 15, 17, 33, 3, 13, 9, 31, 11, 7, 19]","[1, 4, 5, 6, 8, 12, 14, 16, 20, 21, 23, 24, 25, 26, 27, 29, 35, 36, 37, 39]"
0,1,14,sjepa,4.282886505126953,0.35,"[1, 4, 5, 6, 8, 12, 14, 16, 20, 21, 23, 24, 25, 26, 27, 29, 35, 36, 37, 39]","[32, 38, 30, 22, 34, 2, 18, 28, 10, 0, 15, 17, 33, 3, 13, 9, 31, 11, 7, 19]"
0,0,15,physiology,1.6617026290407622,0.6,"[8, 18, 32, 30, 0, 38, 6, 26, 2, 4, 17, 5, 19, 7, 23, 3, 33, 27, 13, 37]","[1, 9, 10, 11, 12, 14, 15, 16, 20, 21, 22, 24, 25, 28, 29, 31, 34, 35, 36, 39]"
0,1,15,physiology,2.1979017369120326,0.65,"[1, 9, 10, 11, 12, 14, 15, 16, 20, 21, 22, 24, 25, 28, 29, 31, 34, 35, 36, 39]","[8, 18, 32, 30, 0, 38, 6, 26, 2, 4, 17, 5, 19, 7, 23, 3, 33, 27, 13, 37]"
0,0,15,riemann,7.31570273252556,0.4,"[8, 18, 32, 30, 0, 38, 6, 26, 2, 4, 17, 5, 19, 7, 23, 3, 33, 27, 13, 37]","[1, 9, 10, 11, 12, 14, 15, 16, 20, 21, 22, 24, 25, 28, 29, 31, 34, 35, 36, 39]"
0,1,15,riemann,7.45444333205178,0.45,"[1, 9, 10, 11, 12, 14, 15, 16, 20, 21, 22, 24, 25, 28, 29, 31, 34, 35, 36, 39]","[8, 18, 32, 30, 0, 38, 6, 26, 2, 4, 17, 5, 19, 7, 23, 3, 33, 27, 13, 37]"
0,0,15,sjepa,3.751189708709717,0.44999999999999996,"[14, 34, 32, 2, 16, 0, 22, 18, 38, 12, 13, 31, 35, 1, 5, 15, 21, 39, 19, 33]","[3, 4, 6, 7, 8, 9, 10, 11, 17, 20, 23, 24, 25, 26, 27, 28, 29, 30, 36, 37]"
0,1,15,sjepa,3.022880792617798,0.55,"[3, 4, 6, 7, 8, 9, 10, 11, 17, 20, 23, 24, 25, 26, 27, 28, 29, 30, 36, 37]","[14, 34, 32, 2, 16, 0, 22, 18, 38, 12, 13, 31, 35, 1, 5, 15, 21, 39, 19, 33]"
0,0,17,physiology,1.225165711777442,0.55,"[22, 10, 30, 36, 12, 0, 4, 20, 38, 24, 3, 19, 11, 23, 13, 27, 21, 25, 35, 17]","[1, 2, 5, 6, 7, 8, 9, 14, 15, 16, 18, 26, 28, 29, 31, 32, 33, 34, 37, 39]"
0,1,17,physiology,1.7450307460167815,0.5,"[1, 2, 5, 6, 7, 8, 9, 14, 15, 16, 18, 26, 28, 29, 31, 32, 33, 34, 37, 39]","[22, 10, 30, 36, 12, 0, 4, 20, 38, 24, 3, 19, 11, 23, 13, 27, 21, 25, 35, 17]"
0,0,17,riemann,7.889928283801183,0.45,"[22, 10, 30, 36, 12, 0, 4, 20, 38, 24, 3, 19, 11, 23, 13, 27, 21, 25, 35, 17]","[1, 2, 5, 6, 7, 8, 9, 14, 15, 16, 18, 26, 28, 29, 31, 32, 33, 34, 37, 39]"
0,1,17,riemann,7.042269965127985,0.55,"[1, 2, 5, 6, 7, 8, 9, 14, 15, 16, 18, 26, 28, 29, 31, 32, 33, 34, 37, 39]","[22, 10, 30, 36, 12, 0, 4, 20, 38, 24, 3, 19, 11, 23, 13, 27, 21, 25, 35, 17]"
0,0,17,sjepa,4.807210922241211,0.6,"[32, 34, 16, 4, 28, 30, 6, 36, 24, 26, 19, 23, 39, 31, 13, 7, 29, 11, 27, 35]","[0, 1, 2, 3, 5, 8, 9, 10, 12, 14, 15, 17, 18, 20, 21, 22, 25, 33, 37, 38]"
0,1,17,sjepa,2.753462791442871,0.7,"[0, 1, 2, 3, 5, 8, 9, 10, 12, 14, 15, 17, 18, 20, 21, 22, 25, 33, 37, 38]","[32, 34, 16, 4, 28, 30, 6, 36, 24, 26, 19, 23, 39, 31, 13, 7, 29, 11, 27, 35]"
0,0,29,physiology,3.2058405892715465,0.6499999999999999,"[32, 28, 22, 24, 34, 4, 36, 2, 8, 12, 13, 7, 5, 19, 15, 37, 17, 27, 35, 39]","[0, 1, 3, 6, 9, 10, 11, 14, 16, 18, 20, 21, 23, 25, 26, 29, 30, 31, 33, 38]"
0,1,29,physiology,1.738397389709908,0.4,"[0, 1, 3, 6, 9, 10, 11, 14, 16, 18, 20, 21, 23, 25, 26, 29, 30, 31, 33, 38]","[32, 28, 22, 24, 34, 4, 36, 2, 8, 12, 13, 7, 5, 19, 15, 37, 17, 27, 35, 39]"
0,0,29,riemann,8.785739937488666,0.45,"[32, 28, 22, 24, 34, 4, 36, 2, 8, 12, 13, 7, 5, 19, 15, 37, 17, 27, 35, 39]","[0, 1, 3, 6, 9, 10, 11, 14, 16, 18, 20, 21, 23, 25, 26, 29, 30, 31, 33, 38]"
0,1,29,riemann,8.168269145574019,0.45,"[0, 1, 3, 6, 9, 10, 11, 14, 16, 18, 20, 21, 23, 25, 26, 29, 30, 31, 33, 38]","[32, 28, 22, 24, 34, 4, 36, 2, 8, 12, 13, 7, 5, 19, 15, 37, 17, 27, 35, 39]"
