method,subject_id,accuracy,balanced_accuracy,f1,confusion_matrix
reflection_train,sub-20,0.6,0.6,0.5555555555555556,"[[14, 6], [10, 10]]"
reflection_train,sub-21,0.4,0.4,0.4,"[[8, 12], [12, 8]]"
reflection_train,sub-22,0.7,0.7,0.7,"[[14, 6], [6, 14]]"
reflection_train,sub-23,0.7,0.7,0.7272727272727273,"[[12, 8], [4, 16]]"
reflection_train,sub-24,0.6,0.6,0.6363636363636364,"[[10, 10], [6, 14]]"
reflection_train,sub-25,0.675,0.675,0.6666666666666666,"[[14, 6], [7, 13]]"
reflection_train,sub-26,0.5,0.5,0.5,"[[10, 10], [10, 10]]"
reflection_train,sub-27,0.4,0.4,0.42857142857142855,"[[7, 13], [11, 9]]"
reflection_train,sub-28,0.65,0.65,0.65,"[[13, 7], [7, 13]]"
reflection_train,sub-29,0.575,0.575,0.5641025641025641,"[[12, 8], [9, 11]]"
reflection_train,sub-30,0.8,0.8,0.7777777777777778,"[[18, 2], [6, 14]]"
reflection_train,sub-31,0.525,0.525,0.45714285714285713,"[[13, 7], [12, 8]]"
reflection_train,sub-32,0.45,0.45,0.42105263157894735,"[[10, 10], [12, 8]]"
reflection_train,sub-33,0.4,0.4,0.3333333333333333,"[[10, 10], [14, 6]]"
reflection_train,sub-34,0.375,0.375,0.4444444444444444,"[[5, 15], [10, 10]]"
reflection_train,sub-35,0.625,0.625,0.6511627906976745,"[[11, 9], [6, 14]]"
reflection_train,sub-36,0.625,0.625,0.5945945945945946,"[[14, 6], [9, 11]]"
reflection_train,sub-37,0.65,0.6499999999999999,0.6666666666666666,"[[12, 8], [6, 14]]"
reflection_train,sub-38,0.7,0.7,0.7272727272727273,"[[12, 8], [4, 16]]"
reflection_train,sub-39,0.475,0.475,0.4,"[[12, 8], [13, 7]]"
reflection_train,sub-40,0.65,0.65,0.6111111111111112,"[[15, 5], [9, 11]]"
reflection_train,sub-41,0.5,0.5,0.4444444444444444,"[[12, 8], [12, 8]]"
reflection_train,sub-42,0.65,0.6499999999999999,0.631578947368421,"[[14, 6], [8, 12]]"
reflection_train,sub-43,0.65,0.6499999999999999,0.6666666666666666,"[[12, 8], [6, 14]]"
reflection_train,sub-44,0.725,0.725,0.7317073170731707,"[[14, 6], [5, 15]]"
reflection_train,sub-45,0.625,0.625,0.5945945945945946,"[[14, 6], [9, 11]]"
reflection_train,sub-46,0.625,0.625,0.6153846153846154,"[[13, 7], [8, 12]]"
reflection_train,sub-47,0.425,0.42500000000000004,0.43902439024390244,"[[8, 12], [11, 9]]"
reflection_train,sub-48,0.625,0.625,0.6153846153846154,"[[13, 7], [8, 12]]"
reflection_train,sub-49,0.625,0.625,0.6341463414634146,"[[12, 8], [7, 13]]"
reflection_train,sub-50,0.675,0.675,0.6666666666666666,"[[14, 6], [7, 13]]"
reflection_train_tta,sub-01,0.6,0.6000000000000001,0.6190476190476191,"[[11, 9], [7, 13]]"
reflection_train_tta,sub-02,0.35,0.35,0.2777777777777778,"[[9, 11], [15, 5]]"
reflection_train_tta,sub-03,0.5,0.5,0.5238095238095238,"[[9, 11], [9, 11]]"
reflection_train_tta,sub-04,0.625,0.625,0.6153846153846154,"[[13, 7], [8, 12]]"
reflection_train_tta,sub-05,0.575,0.575,0.6046511627906976,"[[10, 10], [7, 13]]"
reflection_train_tta,sub-06,0.45,0.45,0.47619047619047616,"[[8, 12], [10, 10]]"
reflection_train_tta,sub-07,0.7,0.7,0.7142857142857143,"[[13, 7], [5, 15]]"
reflection_train_tta,sub-08,0.475,0.475,0.46153846153846156,"[[10, 10], [11, 9]]"
reflection_train_tta,sub-09,0.45,0.45,0.47619047619047616,"[[8, 12], [10, 10]]"
reflection_train_tta,sub-10,0.625,0.625,0.6341463414634146,"[[12, 8], [7, 13]]"
reflection_train_tta,sub-11,0.75,0.75,0.7368421052631579,"[[16, 4], [6, 14]]"
reflection_train_tta,sub-12,0.525,0.525,0.5365853658536586,"[[10, 10], [9, 11]]"
reflection_train_tta,sub-13,0.525,0.525,0.5128205128205128,"[[11, 9], [10, 10]]"
reflection_train_tta,sub-14,0.425,0.425,0.46511627906976744,"[[7, 13], [10, 10]]"
reflection_train_tta,sub-15,0.375,0.375,0.46808510638297873,"[[4, 16], [9, 11]]"
reflection_train_tta,sub-16,0.725,0.725,0.717948717948718,"[[15, 5], [6, 14]]"
reflection_train_tta,sub-17,0.425,0.425,0.3783783783783784,"[[10, 10], [13, 7]]"
reflection_train_tta,sub-18,0.875,0.875,0.8780487804878049,"[[17, 3], [2, 18]]"
reflection_train_tta,sub-19,0.45,0.45,0.47619047619047616,"[[8, 12], [10, 10]]"
reflection_train_tta,sub-20,0.675,0.675,0.6486486486486487,"[[15, 5], [8, 12]]"
reflection_train_tta,sub-21,0.4,0.4,0.4,"[[8, 12], [12, 8]]"
reflection_train_tta,sub-22,0.675,0.675,0.6666666666666666,"[[14, 6], [7, 13]]"
reflection_train_tta,sub-23,0.675,0.675,0.7111111111111111,"[[11, 9], [4, 16]]"
reflection_train_tta,sub-24,0.525,0.525,0.5581395348837209,"[[9, 11], [8, 12]]"
reflection_train_tta,sub-25,0.65,0.6499999999999999,0.6666666666666666,"[[12, 8], [6, 14]]"
reflection_train_tta,sub-26,0.55,0.55,0.5714285714285714,"[[10, 10], [8, 12]]"
reflection_train_tta,sub-27,0.4,0.4,0.42857142857142855,"[[7, 13], [11, 9]]"
reflection_train_tta,sub-28,0.6,0.6000000000000001,0.6190476190476191,"[[11, 9], [7, 13]]"
reflection_train_tta,sub-29,0.55,0.55,0.55,"[[11, 9], [9, 11]]"
reflection_train_tta,sub-30,0.775,0.775,0.7428571428571429,"[[18, 2], [7, 13]]"
reflection_train_tta,sub-31,0.525,0.525,0.4864864864864865,"[[12, 8], [11, 9]]"
reflection_train_tta,sub-32,0.475,0.475,0.46153846153846156,"[[10, 10], [11, 9]]"
reflection_train_tta,sub-33,0.45,0.45,0.47619047619047616,"[[8, 12], [10, 10]]"
reflection_train_tta,sub-34,0.375,0.375,0.46808510638297873,"[[4, 16], [9, 11]]"
reflection_train_tta,sub-35,0.7,0.7,0.7,"[[14, 6], [6, 14]]"
reflection_train_tta,sub-36,0.525,0.525,0.4864864864864865,"[[12, 8], [11, 9]]"
reflection_train_tta,sub-37,0.625,0.625,0.6341463414634146,"[[12, 8], [7, 13]]"
reflection_train_tta,sub-38,0.725,0.725,0.7317073170731707,"[[14, 6], [5, 15]]"
reflection_train_tta,sub-39,0.4,0.4,0.42857142857142855,"[[7, 13], [11, 9]]"
reflection_train_tta,sub-40,0.625,0.625,0.5714285714285714,"[[15, 5], [10, 10]]"
reflection_train_tta,sub-41,0.45,0.45,0.3888888888888889,"[[11, 9], [13, 7]]"
reflection_train_tta,sub-42,0.7,0.7,0.7,"[[14, 6], [6, 14]]"
reflection_train_tta,sub-43,0.575,0.575,0.5641025641025641,"[[12, 8], [9, 11]]"
reflection_train_tta,sub-44,0.65,0.65,0.6818181818181818,"[[11, 9], [5, 15]]"
reflection_train_tta,sub-45,0.6,0.6000000000000001,0.5789473684210527,"[[13, 7], [9, 11]]"
reflection_train_tta,sub-46,0.625,0.625,0.6153846153846154,"[[13, 7], [8, 12]]"
reflection_train_tta,sub-47,0.475,0.475,0.4878048780487805,"[[9, 11], [10, 10]]"
reflection_train_tta,sub-48,0.475,0.475,0.4878048780487805,"[[9, 11], [10, 10]]"
reflection_train_tta,sub-49,0.65,0.6499999999999999,0.6666666666666666,"[[12, 8], [6, 14]]"
reflection_train_tta,sub-50,0.55,0.55,0.5263157894736842,"[[12, 8], [10, 10]]"
