subject,n_trials,cov_source,twfb_leaky,twfb_honest_acc,twfb_honest_bacc,fixed_8_12,fixed_9_13,fixed_10_14,fixed_11_15,fixed_12_16,fixed_13_17,fixed_14_18,fixed_15_19,fixed_16_20,fixed_17_21,fixed_18_22,fixed_19_23,fixed_20_24,fixed_21_25,fixed_22_26,fixed_23_27,fixed_24_28,fixed_25_29,fixed_26_30
21,40,computed,0.7,0.4875,0.4875,0.4875,0.475,0.45,0.475,0.425,0.4875,0.4375,0.4,0.375,0.5,0.4375,0.6,0.4625,0.5,0.4,0.4125,0.5125,0.4375,0.45
22,40,computed,0.7375,0.6125,0.6125,0.5,0.675,0.7125,0.625,0.525,0.4875,0.4875,0.6,0.5375,0.5,0.5,0.4625,0.4375,0.5875,0.6,0.4625,0.525,0.5125,0.4875
23,40,computed,0.7875,0.55,0.55,0.5625,0.675,0.75,0.725,0.6625,0.6875,0.4875,0.5375,0.6125,0.65,0.525,0.5,0.5125,0.4,0.4,0.55,0.475,0.45,0.4875
24,40,computed,0.7,0.4625,0.4625,0.475,0.475,0.4875,0.4625,0.45,0.4875,0.425,0.3875,0.425,0.425,0.3625,0.3875,0.45,0.4375,0.3875,0.4,0.4,0.4625,0.4375
25,40,computed,0.75,0.5125,0.5125,0.45,0.4625,0.4625,0.375,0.5,0.4,0.4375,0.5,0.4125,0.45,0.3875,0.375,0.3875,0.425,0.4125,0.4375,0.45,0.45,0.5
26,40,computed,0.75,0.5125,0.5125,0.575,0.55,0.55,0.5,0.5125,0.55,0.5,0.55,0.4625,0.5,0.5,0.4875,0.45,0.475,0.525,0.425,0.525,0.5,0.45
27,40,computed,0.7625,0.3875,0.3875,0.4875,0.5,0.475,0.4125,0.4375,0.4625,0.425,0.375,0.475,0.4,0.4375,0.4,0.4,0.425,0.5,0.425,0.4125,0.4,0.475
28,40,computed,0.75,0.45,0.45,0.6125,0.6375,0.6,0.55,0.525,0.55,0.5125,0.475,0.575,0.65,0.525,0.65,0.4875,0.6375,0.6375,0.675,0.575,0.525,0.625
29,40,computed,0.7375,0.5125,0.5125,0.5,0.4875,0.4875,0.4125,0.525,0.5,0.45,0.5625,0.4375,0.4125,0.425,0.4125,0.4125,0.525,0.4,0.4625,0.4625,0.45,0.4375
30,40,computed,0.7625,0.525,0.525,0.4625,0.55,0.5125,0.475,0.475,0.475,0.4625,0.575,0.5,0.6125,0.55,0.5875,0.5,0.5375,0.5875,0.575,0.5,0.55,0.4375
31,40,computed,0.7125,0.425,0.425,0.425,0.4375,0.5,0.5375,0.425,0.4625,0.425,0.3875,0.375,0.45,0.425,0.425,0.4125,0.4125,0.4125,0.4125,0.475,0.4125,0.45
32,40,computed,0.7625,0.55,0.55,0.5,0.4875,0.5125,0.5125,0.4625,0.45,0.525,0.525,0.5,0.5125,0.325,0.5,0.425,0.4375,0.4125,0.4625,0.425,0.4,0.425
33,40,computed,0.725,0.5625,0.5625,0.425,0.4125,0.6,0.5,0.4625,0.45,0.55,0.4625,0.4625,0.525,0.4,0.5125,0.5375,0.5,0.525,0.4375,0.4125,0.375,0.4125
34,40,computed,0.7,0.4375,0.4375,0.5,0.5,0.45,0.45,0.4625,0.4625,0.475,0.4,0.4125,0.3875,0.4125,0.3625,0.3625,0.4,0.3875,0.3625,0.3625,0.4,0.3625
35,40,computed,0.75,0.375,0.375,0.5375,0.5,0.5125,0.5,0.425,0.4,0.4625,0.425,0.4625,0.5625,0.5,0.45,0.4625,0.375,0.4625,0.3875,0.4125,0.4375,0.5125
36,40,computed,0.7125,0.4,0.4,0.45,0.4375,0.4625,0.45,0.425,0.425,0.4,0.3625,0.375,0.4,0.3875,0.35,0.3625,0.4375,0.425,0.4375,0.4625,0.4625,0.425
37,40,computed,0.825,0.4875,0.4875,0.45,0.5125,0.55,0.5375,0.5875,0.5125,0.4375,0.4875,0.5625,0.6125,0.7,0.7,0.7125,0.6375,0.65,0.7125,0.625,0.5,0.575
38,40,computed,0.8,0.4625,0.4625,0.4,0.4125,0.5375,0.4375,0.4375,0.475,0.625,0.5625,0.5375,0.6,0.45,0.5875,0.5125,0.525,0.5625,0.5,0.4625,0.4625,0.4375
39,40,computed,0.7625,0.425,0.425,0.4375,0.3625,0.375,0.3,0.4,0.3875,0.3125,0.3375,0.3875,0.325,0.3875,0.425,0.3375,0.4375,0.375,0.35,0.4,0.3875,0.4375
40,40,computed,0.85,0.75,0.75,0.6375,0.6125,0.6125,0.5,0.475,0.5875,0.575,0.4875,0.5875,0.625,0.625,0.5875,0.6875,0.7,0.7,0.575,0.5625,0.575,0.6625
41,40,computed,0.725,0.475,0.475,0.4125,0.4375,0.3875,0.5,0.3375,0.4125,0.425,0.375,0.375,0.4375,0.4875,0.45,0.3875,0.425,0.4,0.4625,0.4875,0.4375,0.4375
42,40,computed,0.7625,0.575,0.575,0.55,0.55,0.475,0.575,0.525,0.5125,0.475,0.5,0.4375,0.5125,0.5,0.5375,0.625,0.6125,0.575,0.55,0.4875,0.4375,0.45
43,40,computed,0.75,0.475,0.475,0.4375,0.4875,0.45,0.4375,0.4375,0.475,0.5,0.4875,0.4375,0.425,0.45,0.575,0.475,0.5125,0.4375,0.425,0.4375,0.4125,0.4375
44,40,computed,0.825,0.625,0.625,0.4,0.4,0.425,0.4625,0.4375,0.4125,0.45,0.375,0.4125,0.4375,0.4375,0.425,0.425,0.4625,0.525,0.6125,0.6375,0.625,0.4375
45,40,computed,0.7375,0.4875,0.4875,0.5625,0.5875,0.4625,0.4375,0.5125,0.425,0.5,0.55,0.4625,0.475,0.4625,0.475,0.4625,0.45,0.475,0.4625,0.475,0.5,0.4625
46,40,computed,0.7125,0.4875,0.4875,0.475,0.4875,0.35,0.425,0.4375,0.5,0.4375,0.4625,0.475,0.475,0.5,0.475,0.4625,0.5,0.375,0.4,0.425,0.3875,0.425
47,40,computed,0.7875,0.5,0.5,0.6125,0.6625,0.6375,0.4875,0.4875,0.425,0.4375,0.4875,0.425,0.5,0.525,0.45,0.475,0.4,0.45,0.425,0.3875,0.4125,0.4125
48,40,computed,0.7625,0.4875,0.4875,0.525,0.5,0.4375,0.4,0.5875,0.4875,0.4625,0.475,0.4375,0.475,0.45,0.5125,0.4625,0.425,0.4625,0.4125,0.4375,0.425,0.475
49,40,computed,0.7875,0.5,0.5,0.6,0.55,0.4375,0.5,0.45,0.5625,0.6625,0.6375,0.55,0.6,0.5625,0.5875,0.5,0.4625,0.575,0.5375,0.4625,0.55,0.5
50,40,computed,0.7625,0.475,0.475,0.5625,0.4875,0.55,0.5875,0.575,0.5375,0.5,0.525,0.4625,0.4875,0.4875,0.5375,0.55,0.5,0.45,0.525,0.45,0.475,0.4875
