index,experiment_name,sweep_group,evaluation_mode,resample_sfreq,filter_enabled,filter_low,filter_high,filter_method,demean_mode,detrend_mode,eog_correction,artifact_clip_mode,artifact_clip_abs_value,artifact_clip_percentile,normalization_mode,mi_window_start_s,learning_rate,batch_size,optimizer_name,weight_decay,augmentation_noise_fraction,augmentation_time_shift_samples,augmentation_channel_dropout_prob,seed
10,s010_A_core128_0p5_40p0_w2p0_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,40.0,fir,baseline_window_mean,none,none,none,,99.5,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
11,s011_A_core128_0p5_40p0_w2p0_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,40.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,2.0,0.0003,16,adam,0.0,0.0,0,0.0,2026
12,s012_A_core128_0p5_40p0_w2p25_none_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,40.0,fir,none,none,none,none,,99.5,none,2.25,0.0005,16,adam,0.0,0.0,0,0.0,2026
13,s013_A_core128_0p5_40p0_w2p25_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,40.0,fir,none,none,none,none,,99.5,train_channel_zscore,2.25,0.0003,16,adam,0.0,0.0,0,0.0,2026
14,s014_A_core128_0p5_40p0_w2p25_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,none,,99.5,none,2.25,0.0005,16,adam,0.0,0.0,0,0.0,2026
15,s015_A_core128_0p5_40p0_w2p25_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,2.25,0.0003,16,adam,0.0,0.0,0,0.0,2026
16,s016_A_core128_0p5_40p0_w2p25_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,40.0,fir,baseline_window_mean,none,none,none,,99.5,none,2.25,0.0005,16,adam,0.0,0.0,0,0.0,2026
17,s017_A_core128_0p5_40p0_w2p25_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,40.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,2.25,0.0003,16,adam,0.0,0.0,0,0.0,2026
18,s018_A_core128_0p5_40p0_w2p5_none_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,40.0,fir,none,none,none,none,,99.5,none,2.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
19,s019_A_core128_0p5_40p0_w2p5_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,40.0,fir,none,none,none,none,,99.5,train_channel_zscore,2.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
20,s020_A_core128_0p5_40p0_w2p5_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,none,,99.5,none,2.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
21,s021_A_core128_0p5_40p0_w2p5_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,2.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
22,s022_A_core128_0p5_40p0_w2p5_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,40.0,fir,baseline_window_mean,none,none,none,,99.5,none,2.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
23,s023_A_core128_0p5_40p0_w2p5_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,40.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,2.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
24,s024_A_core128_1p0_40p0_w1p5_none_none_lr0.0005,A_core128,stratified_kfold,128,True,1.0,40.0,fir,none,none,none,none,,99.5,none,1.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
25,s025_A_core128_1p0_40p0_w1p5_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,1.0,40.0,fir,none,none,none,none,,99.5,train_channel_zscore,1.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
26,s026_A_core128_1p0_40p0_w1p5_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,1.0,40.0,fir,trial_mean,none,none,none,,99.5,none,1.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
27,s027_A_core128_1p0_40p0_w1p5_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,1.0,40.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,1.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
28,s028_A_core128_1p0_40p0_w1p5_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,1.0,40.0,fir,baseline_window_mean,none,none,none,,99.5,none,1.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
29,s029_A_core128_1p0_40p0_w1p5_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,1.0,40.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,1.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
30,s030_A_core128_1p0_40p0_w2p0_none_none_lr0.0005,A_core128,stratified_kfold,128,True,1.0,40.0,fir,none,none,none,none,,99.5,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
31,s031_A_core128_1p0_40p0_w2p0_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,1.0,40.0,fir,none,none,none,none,,99.5,train_channel_zscore,2.0,0.0003,16,adam,0.0,0.0,0,0.0,2026
32,s032_A_core128_1p0_40p0_w2p0_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,1.0,40.0,fir,trial_mean,none,none,none,,99.5,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
33,s033_A_core128_1p0_40p0_w2p0_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,1.0,40.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,2.0,0.0003,16,adam,0.0,0.0,0,0.0,2026
34,s034_A_core128_1p0_40p0_w2p0_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,1.0,40.0,fir,baseline_window_mean,none,none,none,,99.5,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
35,s035_A_core128_1p0_40p0_w2p0_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,1.0,40.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,2.0,0.0003,16,adam,0.0,0.0,0,0.0,2026
36,s036_A_core128_1p0_40p0_w2p25_none_none_lr0.0005,A_core128,stratified_kfold,128,True,1.0,40.0,fir,none,none,none,none,,99.5,none,2.25,0.0005,16,adam,0.0,0.0,0,0.0,2026
37,s037_A_core128_1p0_40p0_w2p25_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,1.0,40.0,fir,none,none,none,none,,99.5,train_channel_zscore,2.25,0.0003,16,adam,0.0,0.0,0,0.0,2026
38,s038_A_core128_1p0_40p0_w2p25_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,1.0,40.0,fir,trial_mean,none,none,none,,99.5,none,2.25,0.0005,16,adam,0.0,0.0,0,0.0,2026
39,s039_A_core128_1p0_40p0_w2p25_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,1.0,40.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,2.25,0.0003,16,adam,0.0,0.0,0,0.0,2026
40,s040_A_core128_1p0_40p0_w2p25_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,1.0,40.0,fir,baseline_window_mean,none,none,none,,99.5,none,2.25,0.0005,16,adam,0.0,0.0,0,0.0,2026
41,s041_A_core128_1p0_40p0_w2p25_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,1.0,40.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,2.25,0.0003,16,adam,0.0,0.0,0,0.0,2026
42,s042_A_core128_1p0_40p0_w2p5_none_none_lr0.0005,A_core128,stratified_kfold,128,True,1.0,40.0,fir,none,none,none,none,,99.5,none,2.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
43,s043_A_core128_1p0_40p0_w2p5_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,1.0,40.0,fir,none,none,none,none,,99.5,train_channel_zscore,2.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
44,s044_A_core128_1p0_40p0_w2p5_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,1.0,40.0,fir,trial_mean,none,none,none,,99.5,none,2.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
45,s045_A_core128_1p0_40p0_w2p5_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,1.0,40.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,2.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
46,s046_A_core128_1p0_40p0_w2p5_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,1.0,40.0,fir,baseline_window_mean,none,none,none,,99.5,none,2.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
47,s047_A_core128_1p0_40p0_w2p5_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,1.0,40.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,2.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
48,s048_A_core128_0p5_30p0_w1p5_none_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,30.0,fir,none,none,none,none,,99.5,none,1.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
49,s049_A_core128_0p5_30p0_w1p5_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,30.0,fir,none,none,none,none,,99.5,train_channel_zscore,1.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
50,s050_A_core128_0p5_30p0_w1p5_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,30.0,fir,trial_mean,none,none,none,,99.5,none,1.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
51,s051_A_core128_0p5_30p0_w1p5_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,30.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,1.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
52,s052_A_core128_0p5_30p0_w1p5_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,30.0,fir,baseline_window_mean,none,none,none,,99.5,none,1.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
53,s053_A_core128_0p5_30p0_w1p5_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,30.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,1.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
54,s054_A_core128_0p5_30p0_w2p0_none_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,30.0,fir,none,none,none,none,,99.5,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
55,s055_A_core128_0p5_30p0_w2p0_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,30.0,fir,none,none,none,none,,99.5,train_channel_zscore,2.0,0.0003,16,adam,0.0,0.0,0,0.0,2026
56,s056_A_core128_0p5_30p0_w2p0_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,30.0,fir,trial_mean,none,none,none,,99.5,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
57,s057_A_core128_0p5_30p0_w2p0_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,30.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,2.0,0.0003,16,adam,0.0,0.0,0,0.0,2026
58,s058_A_core128_0p5_30p0_w2p0_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,30.0,fir,baseline_window_mean,none,none,none,,99.5,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
59,s059_A_core128_0p5_30p0_w2p0_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,30.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,2.0,0.0003,16,adam,0.0,0.0,0,0.0,2026
60,s060_A_core128_0p5_30p0_w2p25_none_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,30.0,fir,none,none,none,none,,99.5,none,2.25,0.0005,16,adam,0.0,0.0,0,0.0,2026
61,s061_A_core128_0p5_30p0_w2p25_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,30.0,fir,none,none,none,none,,99.5,train_channel_zscore,2.25,0.0003,16,adam,0.0,0.0,0,0.0,2026
62,s062_A_core128_0p5_30p0_w2p25_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,30.0,fir,trial_mean,none,none,none,,99.5,none,2.25,0.0005,16,adam,0.0,0.0,0,0.0,2026
63,s063_A_core128_0p5_30p0_w2p25_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,30.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,2.25,0.0003,16,adam,0.0,0.0,0,0.0,2026
64,s064_A_core128_0p5_30p0_w2p25_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,30.0,fir,baseline_window_mean,none,none,none,,99.5,none,2.25,0.0005,16,adam,0.0,0.0,0,0.0,2026
65,s065_A_core128_0p5_30p0_w2p25_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,30.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,2.25,0.0003,16,adam,0.0,0.0,0,0.0,2026
66,s066_A_core128_0p5_30p0_w2p5_none_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,30.0,fir,none,none,none,none,,99.5,none,2.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
67,s067_A_core128_0p5_30p0_w2p5_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,30.0,fir,none,none,none,none,,99.5,train_channel_zscore,2.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
68,s068_A_core128_0p5_30p0_w2p5_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,30.0,fir,trial_mean,none,none,none,,99.5,none,2.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
69,s069_A_core128_0p5_30p0_w2p5_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,30.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,2.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
70,s070_A_core128_0p5_30p0_w2p5_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,30.0,fir,baseline_window_mean,none,none,none,,99.5,none,2.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
71,s071_A_core128_0p5_30p0_w2p5_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,30.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,2.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
72,s072_A_core128_0p5_35p0_w1p5_none_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,35.0,fir,none,none,none,none,,99.5,none,1.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
73,s073_A_core128_0p5_35p0_w1p5_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,35.0,fir,none,none,none,none,,99.5,train_channel_zscore,1.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
74,s074_A_core128_0p5_35p0_w1p5_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,35.0,fir,trial_mean,none,none,none,,99.5,none,1.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
75,s075_A_core128_0p5_35p0_w1p5_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,35.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,1.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
76,s076_A_core128_0p5_35p0_w1p5_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,35.0,fir,baseline_window_mean,none,none,none,,99.5,none,1.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
77,s077_A_core128_0p5_35p0_w1p5_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,35.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,1.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
78,s078_A_core128_0p5_35p0_w2p0_none_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,35.0,fir,none,none,none,none,,99.5,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
79,s079_A_core128_0p5_35p0_w2p0_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,35.0,fir,none,none,none,none,,99.5,train_channel_zscore,2.0,0.0003,16,adam,0.0,0.0,0,0.0,2026
80,s080_A_core128_0p5_35p0_w2p0_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,35.0,fir,trial_mean,none,none,none,,99.5,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
81,s081_A_core128_0p5_35p0_w2p0_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,35.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,2.0,0.0003,16,adam,0.0,0.0,0,0.0,2026
82,s082_A_core128_0p5_35p0_w2p0_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,35.0,fir,baseline_window_mean,none,none,none,,99.5,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
83,s083_A_core128_0p5_35p0_w2p0_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,35.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,2.0,0.0003,16,adam,0.0,0.0,0,0.0,2026
84,s084_A_core128_0p5_35p0_w2p25_none_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,35.0,fir,none,none,none,none,,99.5,none,2.25,0.0005,16,adam,0.0,0.0,0,0.0,2026
85,s085_A_core128_0p5_35p0_w2p25_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,35.0,fir,none,none,none,none,,99.5,train_channel_zscore,2.25,0.0003,16,adam,0.0,0.0,0,0.0,2026
86,s086_A_core128_0p5_35p0_w2p25_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,35.0,fir,trial_mean,none,none,none,,99.5,none,2.25,0.0005,16,adam,0.0,0.0,0,0.0,2026
87,s087_A_core128_0p5_35p0_w2p25_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,35.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,2.25,0.0003,16,adam,0.0,0.0,0,0.0,2026
88,s088_A_core128_0p5_35p0_w2p25_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,35.0,fir,baseline_window_mean,none,none,none,,99.5,none,2.25,0.0005,16,adam,0.0,0.0,0,0.0,2026
89,s089_A_core128_0p5_35p0_w2p25_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,35.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,2.25,0.0003,16,adam,0.0,0.0,0,0.0,2026
90,s090_A_core128_0p5_35p0_w2p5_none_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,35.0,fir,none,none,none,none,,99.5,none,2.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
91,s091_A_core128_0p5_35p0_w2p5_none_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,35.0,fir,none,none,none,none,,99.5,train_channel_zscore,2.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
92,s092_A_core128_0p5_35p0_w2p5_trial_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,35.0,fir,trial_mean,none,none,none,,99.5,none,2.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
93,s093_A_core128_0p5_35p0_w2p5_trial_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,35.0,fir,trial_mean,none,none,none,,99.5,train_channel_zscore,2.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
94,s094_A_core128_0p5_35p0_w2p5_baseline_window_mean_none_lr0.0005,A_core128,stratified_kfold,128,True,0.5,35.0,fir,baseline_window_mean,none,none,none,,99.5,none,2.5,0.0005,16,adam,0.0,0.0,0,0.0,2026
95,s095_A_core128_0p5_35p0_w2p5_baseline_window_mean_train_channel_zscore_lr0.0003,A_core128,stratified_kfold,128,True,0.5,35.0,fir,baseline_window_mean,none,none,none,,99.5,train_channel_zscore,2.5,0.0003,16,adam,0.0,0.0,0,0.0,2026
96,s096_B_artifact_linear_regression_none_none_none,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,linear_regression,none,,99.5,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
97,s097_B_artifact_linear_regression_none_none_train_channel_zscore,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,linear_regression,none,,99.5,train_channel_zscore,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
98,s098_B_artifact_linear_regression_none_none_train_channel_robust,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,linear_regression,none,,99.5,train_channel_robust,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
99,s099_B_artifact_linear_regression_none_none_trial_channel_zscore,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,linear_regression,none,,99.5,trial_channel_zscore,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
100,s100_B_artifact_linear_regression_none_none_train_global_zscore,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,linear_regression,none,,99.5,train_global_zscore,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
101,s101_B_artifact_none_percentile_none_none,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,percentile,,99.5,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
102,s102_B_artifact_none_percentile_none_train_channel_zscore,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,percentile,,99.5,train_channel_zscore,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
103,s103_B_artifact_none_percentile_none_train_channel_robust,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,percentile,,99.5,train_channel_robust,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
104,s104_B_artifact_none_percentile_none_trial_channel_zscore,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,percentile,,99.5,trial_channel_zscore,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
105,s105_B_artifact_none_percentile_none_train_global_zscore,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,percentile,,99.5,train_global_zscore,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
106,s106_B_artifact_none_percentile_none_none,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,percentile,,99.0,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
107,s107_B_artifact_none_percentile_none_train_channel_zscore,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,percentile,,99.0,train_channel_zscore,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
108,s108_B_artifact_none_percentile_none_train_channel_robust,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,percentile,,99.0,train_channel_robust,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
109,s109_B_artifact_none_percentile_none_trial_channel_zscore,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,percentile,,99.0,trial_channel_zscore,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
110,s110_B_artifact_none_percentile_none_train_global_zscore,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,percentile,,99.0,train_global_zscore,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
111,s111_B_artifact_none_absolute_none_none,B_artifact,stratified_kfold,128,True,0.5,40.0,fir,trial_mean,none,none,absolute,150.0,99.5,none,2.0,0.0005,16,adam,0.0,0.0,0,0.0,2026
